Ind#,TDose,T1 Pos1,T1 Pos1,T1 Pos3,T2 Pos1,T2 Pos2,T2 Pos3,V Pre,DCE 1,DCE 2,DCE 3,T2w Pos1,T2w Pos2,T2w Pos3
72,5.2976,176,110,152,-8.4,-0.6,-15.3,145,367,405,413,1,-38,-35
73,1.8863,329,447,593,36.9,52.8,84.7,130,133,128,130,64,92,-18
74,3.9265,129,84,72,-11.4,-5.8,38.8,131,183,207,215,-84,-105,-5
75,5.1692,43,-42,-75,-40.5,-41.4,-0.3,126,273,303,308,-79,-109,-15
76,8.8543,39,-21,-110,2.5,-0.7,7.5,131,394,438,433,-39,-80,-45
77,18.196,123,59,-6,24.9,18.1,20.4,141,358,394,405,-45,-62,-22
78,18.526,88,-13,28,3.5,-12.2,-0.6,142,354,373,392,-35,-64,-19
79,10.763,44,8,69,-8.2,-19.6,-5.3,142,357,373,394,-60,-80,-47
80,6.9476,45,43,94,-6.3,-12.1,1.6,143,372,409,429,-41,-76,-55
81,5.5609,163,89,99,2.8,1,-1.8,150,356,388,399,-5,-24,-45
82,3.5527,201,124,146,5.1,10.3,-6.2,155,350,392,397,26,0,-46
83,1.7904,100,470,580,31.1,52.9,40.6,130,133,128,130,68,85,-5
84,4.7569,106,203,155,-19.2,-9.3,-10.9,131,183,207,215,-76,-92,-18
85,8.8934,51,63,-22,-42.8,-40.9,-33.7,126,273,303,308,-71,-101,-33
86,16.409,11,57,25,-21.4,-24.2,-18.2,131,394,438,433,-40,-63,-37
87,23.601,17,93,54,-2.2,-4.6,-1.6,141,358,394,405,-58,-83,-20
88,17.808,94,28,-54,14.6,6.7,11.1,142,354,373,392,-43,-63,-19
89,10.892,132,-6,34,15.6,1.2,13.6,142,357,373,394,-24,-51,-35
90,7.4779,128,15,132,11.7,-3.7,11.6,143,372,409,429,-5,-40,-44
91,3.2655,118,118,102,23.3,9.2,11.2,150,356,388,399,5,-14,-39
92,2.3651,167,138,89,31.3,18.9,13.8,155,350,392,397,23,9,-46
93,1.1207,118,497,664,27.9,53.1,38.6,132,122,127,126,48,67,3
94,3.6169,60,203,224,-13.8,-1.2,-11.7,131,183,213,220,-89,-99,-17
95,9.0477,27,89,20,-29.4,-24.1,-30.2,134,279,305,320,-79,-112,-26
96,14.582,50,98,91,-21.9,-27.3,-25.2,143,387,436,438,-68,-82,-16
97,12.872,-13,96,101,-8.1,-15.2,-11.3,137,385,434,439,-73,-98,-27
98,8.9941,26,54,-81,21.7,11.7,20.9,130,376,411,416,-44,-69,-25
99,6.821,113,33,-39,21.5,7.6,19.8,149,402,430,447,-17,-34,-40
100,5.3532,148,18,76,7.8,-5.3,4.6,148,416,441,445,-6,-22,-45
101,2.3928,85,72,103,11.2,0.3,5.5,158,325,350,374,-2,-26,-35
102,1.8597,6,154,257,-8.4,4.4,-4.7,131,183,213,220,-80,-98,-15
103,3.8932,-29,59,35,-13.4,-5.7,-19.2,134,279,305,320,-85,-117,-13
104,5.2411,98,104,87,-19.2,-25.4,-27.7,143,387,436,438,-83,-100,-25
105,4.3542,29,78,124,-17.9,-27.1,-23.4,137,385,434,439,-70,-95,-18
106,3.4863,-52,49,-46,17,8.3,22,130,376,411,416,-46,-72,-30
107,3.3795,49,67,-58,17.7,9.8,22.5,149,402,430,447,-45,-60,-35
108,3.2572,132,68,17,-2.8,-9.1,-3,148,416,441,445,-31,-57,-35
109,2.3761,86,40,102,-12.1,-11.6,-8.2,158,325,350,374,-16,-30,-25
110,1.1979,-30,-60,-10,-0.7,3.1,-6.6,139,267,281,309,-66,-94,-25
111,1.5179,121,72,49,-3.1,-4.8,-13.7,144,385,418,431,-53,-86,-21
112,1.7538,145,81,115,-35.2,-38.6,-42.7,132,396,464,460,-44,-63,-24
113,1.9122,15,-35,107,-13.1,-15.1,-8.5,118,386,450,436,-11,-38,-41
114,0.56111,-22,66,-9,-10.9,-15.6,-12.2,129,207,236,234,-93,-114,-35
115,0.76823,27,-26,-151,-23.6,-7.8,-21.6,133,338,374,380,-98,-132,-42
116,1.5442,36,-3,-65,-17.6,-5.2,-12.8,124,407,441,463,-90,-109,-54
117,2.7883,-43,30,48,-22.6,-27.2,-8.2,116,341,403,407,-75,-106,-47
118,2.5976,14,46,94,-10.3,-11,3.7,129,369,409,418,-100,-111,-36
119,3.7197,96,59,139,5.9,8.9,18.9,129,418,449,452,-104,-136,-21
120,3.3401,139,76,108,1.2,-6.2,20.9,140,401,454,461,-48,-90,-42
121,2.2681,131,66,102,-9.4,-16.9,2.2,137,391,432,443,-36,-74,-44
122,1.7187,95,244,455,59.1,98.5,134.7,136,156,159,167,91,120,-26
123,2.3915,95,69,376,16.1,22.6,70.1,138,190,203,211,-79,-85,-9
124,2.299,37,11,-16,-19,-19.3,11.4,137,234,276,270,-84,-105,-27
125,4.278,98,-9,-95,10.3,16.6,4.4,137,380,425,418,-91,-124,-48
126,9.6499,159,39,3,27,25.3,17.5,127,400,449,457,-77,-89,-53
127,10.629,43,34,35,-8.9,-28.1,-7.2,126,351,376,389,-67,-104,-55
128,5.9832,19,29,47,-18.5,-29.6,-15.6,128,337,348,358,-102,-117,-50
129,7.1421,78,38,49,-9.5,-14.9,-6.1,137,369,409,413,-99,-120,-42
130,10.516,164,74,107,-8,-7.3,-2,139,417,451,462,-55,-90,-50
131,6.2569,158,98,141,-14,-8.6,-14.8,132,441,464,469,-30,-68,-58
132,0.49044,45,-18,-985,29.2,80.7,154,90,88,92,83,-39,-85,-45
133,3.7945,354,469,688,41.6,65.9,112.8,136,156,159,167,81,109,-13
134,6.3727,127,60,85,-0.5,6.8,64.6,138,190,203,211,-61,-78,-9
