Ind#,TDose,T1 Pre,T1 Pos1,T1 Pos1,T1 Pos3,T2 Pre,T2 Pos1,T2 Pos2,T2 Pos3,V Pre,DCE 1,DCE 2,DCE 3,T2w Pre,T2w Pos1,T2w Pos2,T2w Pos3
62,3.9894,1387,1545,1485,1528,95.7,81.7,87.1,80.9,145,367,405,413,179,174,135,96
63,1.5174,1660,2014,2129,2348,59.7,101.3,125.6,172.5,125,129,126,126,70,129,151,144
64,2.3054,1439,1566,1499,1524,70.1,69.6,76.9,134.7,132,183,202,207,139,37,19,21
65,2.4892,1406,1450,1372,1352,87.8,58.5,58.2,102.4,124,242,283,282,201,108,88,70
66,3.8432,1525,1606,1502,1413,69.2,83.9,82.2,83.1,129,385,424,431,231,152,113,86
67,9.0711,1502,1661,1548,1503,67.3,104.7,94.7,94.6,137,342,385,385,213,150,140,115
68,12.101,1486,1551,1495,1517,107.3,109.9,88.7,107,138,334,367,373,183,149,116,97
69,7.5872,1495,1509,1510,1543,110.7,96.4,83.5,97.7,135,325,349,369,226,143,121,85
70,6.5087,1482,1530,1509,1539,98.9,87.5,81.1,91.9,146,341,395,407,219,155,128,87
71,8.1456,1399,1559,1471,1502,88.3,81,82.8,81.6,143,352,390,399,155,142,114,82
72,5.2976,1363,1539,1473,1515,90.9,82.5,90.3,75.6,145,367,405,413,176,177,138,103
73,1.8863,1623,1952,2070,2216,62.5,99.4,115.3,147.2,130,133,128,130,58,122,150,132
74,3.9265,1400,1529,1484,1472,78.7,67.3,72.9,117.5,131,183,207,215,127,43,22,17
75,5.1692,1389,1432,1347,1314,99.6,59.1,58.2,99.3,126,273,303,308,195,116,86,71
76,8.8543,1520,1559,1499,1410,75.9,78.4,75.2,83.4,131,394,438,433,209,170,129,84
77,18.196,1495,1618,1554,1489,67.6,92.5,85.7,88,141,358,394,405,199,154,137,115
78,18.526,1466,1554,1453,1494,99.6,103.1,87.4,99,142,354,373,392,194,159,130,111
79,10.763,1470,1514,1478,1539,106.1,97.9,86.5,100.8,142,357,373,394,215,155,135,88
80,6.9476,1462,1507,1505,1556,97.6,91.3,85.5,99.2,143,372,409,429,221,180,145,90
81,5.5609,1388,1551,1477,1487,82.4,85.2,83.4,80.6,150,356,388,399,166,161,142,97
82,3.5527,1340,1541,1464,1486,82.5,87.6,92.8,76.3,155,350,392,397,164,190,164,118
83,1.7904,1525,1625,1995,2105,57.2,88.3,110.1,97.8,130,133,128,130,48,116,133,128
84,4.7569,1324,1430,1527,1479,79.9,60.7,70.6,69,131,183,207,215,131,55,39,21
85,8.8934,1342,1393,1405,1320,102,59.2,61.1,68.3,126,273,303,308,195,124,94,61
86,16.409,1458,1469,1515,1483,89,67.6,64.8,70.8,131,394,438,433,209,169,146,109
87,23.601,1440,1457,1533,1494,74.8,72.6,70.2,73.2,141,358,394,405,216,158,133,113
88,17.808,1434,1528,1462,1380,82.4,97,89.1,93.5,142,354,373,392,202,159,139,120
89,10.892,1437,1569,1431,1471,91.6,107.2,92.8,105.2,142,357,373,394,192,168,141,106
90,7.4779,1431,1559,1446,1563,94.3,106,90.6,105.9,143,372,409,429,192,187,152,108
91,3.2655,1394,1512,1512,1496,79.7,103,88.9,90.9,150,356,388,399,156,161,142,103
92,2.3651,1349,1516,1487,1438,74.4,105.7,93.3,88.2,155,350,392,397,151,174,160,114
93,1.1207,1466,1584,1963,2130,51.1,79,104.2,89.7,132,122,127,126,51,99,118,121
94,3.6169,1300,1360,1503,1524,70.4,56.6,69.2,58.7,131,183,213,220,138,49,39,22
95,9.0477,1331,1358,1420,1351,89,59.6,64.9,58.8,134,279,305,320,199,120,87,61
96,14.582,1419,1469,1517,1510,91,69.1,63.7,65.8,143,387,436,438,222,154,140,124
97,12.872,1411,1398,1507,1512,79.3,71.2,64.1,68,137,385,434,439,231,158,133,106
98,8.9941,1440,1466,1494,1359,72.7,94.4,84.4,93.6,130,376,411,416,218,174,149,124
99,6.821,1440,1553,1473,1401,82.6,104.1,90.2,102.4,149,402,430,447,191,174,157,117
100,5.3532,1429,1577,1447,1505,92.3,100.1,87,96.9,148,416,441,445,183,177,161,116
101,2.3928,1413,1498,1485,1516,85.4,96.6,85.7,90.9,158,325,350,374,155,153,129,94
102,1.8597,1292,1298,1446,1549,60.9,52.5,65.3,56.2,131,183,213,220,126,46,28,13
103,3.8932,1336,1307,1395,1371,73.7,60.3,68,54.5,134,279,305,320,197,112,80,67
104,5.2411,1397,1495,1501,1484,90.7,71.5,65.3,63,143,387,436,438,241,158,141,116
105,4.3542,1389,1418,1467,1513,86.5,68.6,59.4,63.1,137,385,434,439,244,174,149,131
106,3.4863,1459,1407,1508,1413,64.8,81.8,73.1,86.8,130,376,411,416,228,182,156,126
107,3.3795,1459,1508,1526,1401,71.4,89.1,81.2,93.9,149,402,430,447,218,173,158,123
108,3.2572,1431,1563,1499,1448,87.2,84.4,78.1,84.2,148,416,441,445,205,174,148,113
109,2.3761,1422,1508,1462,1524,92.2,80.1,80.6,84,158,325,350,374,159,143,129,104
110,1.1979,1357,1327,1297,1347,58.3,57.6,61.4,51.7,139,267,281,309,186,120,92,67
111,1.5179,1390,1511,1462,1439,79.4,76.3,74.6,65.7,144,385,418,431,232,179,146,125
112,1.7538,1359,1504,1440,1474,103.8,68.6,65.2,61.1,132,396,464,460,233,189,170,146
113,1.9122,1459,1474,1424,1566,73.6,60.5,58.5,65.1,118,386,450,436,212,201,174,133
114,0.56111,1420,1398,1486,1411,73.6,62.7,58,61.4,129,207,236,234,204,111,90,55
115,0.76823,1517,1544,1491,1366,82.6,59,74.8,61,133,338,374,380,252,154,120,78
116,1.5442,1550,1586,1547,1485,88,70.4,82.8,75.2,124,407,441,463,262,172,153,99
117,2.7883,1602,1559,1632,1650,101.2,78.6,74,93,116,341,403,407,275,200,169,122
118,2.5976,1577,1591,1623,1671,87.8,77.5,76.8,91.5,129,369,409,418,256,156,145,109
119,3.7197,1512,1608,1571,1651,75.6,81.5,84.5,94.5,129,418,449,452,271,167,135,114
120,3.3401,1420,1559,1496,1528,82.9,84.1,76.7,103.8,140,401,454,461,261,213,171,129
121,2.2681,1425,1556,1491,1527,89.3,79.9,72.4,91.5,137,391,432,443,236,200,162,118
122,1.7187,1966,2061,2210,2421,55.1,114.2,153.6,189.8,136,156,159,167,64,155,184,158
123,2.3915,1477,1572,1546,1853,61,77.1,83.6,131.1,138,190,203,211,120,41,35,26
124,2.299,1411,1448,1422,1395,78.2,59.2,58.9,89.6,137,234,276,270,203,119,98,71
125,4.278,1516,1614,1507,1421,68,78.3,84.6,72.4,137,380,425,418,252,161,128,80
126,9.6499,1505,1664,1544,1508,72.3,99.3,97.6,89.8,127,400,449,457,255,178,166,113
127,10.629,1516,1559,1550,1551,113.6,104.7,85.5,106.4,126,351,376,389,273,206,169,114
128,5.9832,1525,1544,1554,1572,108.9,90.4,79.3,93.3,128,337,348,358,274,172,157,107
129,7.1421,1498,1576,1536,1547,94.3,84.8,79.4,88.2,137,369,409,413,277,178,157,115
130,10.516,1406,1570,1480,1513,91.4,83.4,84.1,89.4,139,417,451,462,271,216,181,131
131,6.2569,1387,1545,1485,1528,95.7,81.7,87.1,80.9,132,441,464,469,252,222,184,126
132,0.49044,2642,2687,2624,1657,240.5,269.7,321.2,394.5,90,88,92,83,258,219,173,128
133,3.7945,1660,2014,2129,2348,59.7,101.3,125.6,172.5,136,156,159,167,49,130,158,145
134,6.3727,1439,1566,1499,1524,70.1,69.6,76.9,134.7,138,190,203,211,111,50,33,24
135,7.9949,1406,1450,1372,1352,87.8,58.5,58.2,102.4,137,234,276,270,210,115,96,71
136,17.297,1525,1606,1502,1413,69.2,83.9,82.2,83.1,137,380,425,418,235,154,132,84
137,32.681,1502,1661,1548,1503,67.3,104.7,94.7,94.6,127,400,449,457,225,158,155,114
138,25.151,1486,1551,1495,1517,107.3,109.9,88.7,107,126,351,376,389,236,178,148,111
139,12.553,1495,1509,1510,1543,110.7,96.4,83.5,97.7,128,337,348,358,261,174,147,99
140,9.7382,1482,1530,1509,1539,98.9,87.5,81.1,91.9,137,369,409,413,263,194,158,104
141,10.165,1399,1559,1471,1502,88.3,81,82.8,81.6,139,417,451,462,256,196,163,122
142,6.9334,1363,1539,1473,1515,90.9,82.5,90.3,75.6,132,441,464,469,232,211,180,131
143,0.916,2628,2650,2574,1571,193.8,316.9,409.5,409.5,105,82,105,91,255,242,187,141
144,6.243,1623,1952,2070,2216,62.5,99.4,115.3,147.2,130,153,163,163,50,123,146,138
145,12.805,1400,1529,1484,1472,78.7,67.3,72.9,117.5,136,190,218,205,118,44,31,15
146,17.315,1389,1432,1347,1314,99.6,59.1,58.2,99.3,137,274,299,308,205,114,91,73
147,32.524,1520,1559,1499,1410,75.9,78.4,75.2,83.4,136,379,411,416,205,164,132,90
148,46.932,1495,1618,1554,1489,67.6,92.5,85.7,88,133,340,389,380,200,159,143,117
149,36.804,1466,1554,1453,1494,99.6,103.1,87.4,99,131,289,291,310,219,163,143,110
150,19.781,1470,1514,1478,1539,106.1,97.9,86.5,100.8,129,234,222,239,237,166,146,94
151,11.454,1462,1507,1505,1556,97.6,91.3,85.5,99.2,134,276,303,309,252,194,155,101
152,7.0226,1388,1551,1477,1487,82.4,85.2,83.4,80.6,131,388,403,422,259,196,165,119
153,4.6957,1340,1541,1464,1486,82.5,87.6,92.8,76.3,140,453,482,488,226,231,197,143
154,0.96108,2549,2635,1555,1504,116.9,409.5,0,409.5,105,82,105,91,252,238,195,155
155,5.3769,1525,1625,1995,2105,57.2,88.3,110.1,97.8,130,153,163,163,56,108,138,138
156,12.957,1324,1430,1527,1479,79.9,60.7,70.6,69,136,190,218,205,129,40,36,25
157,23.563,1342,1393,1405,1320,102,59.2,61.1,68.3,137,274,299,308,194,118,94,70
158,39.296,1458,1469,1515,1483,89,67.6,64.8,70.8,136,379,411,416,193,164,135,106
159,44.194,1440,1457,1533,1494,74.8,72.6,70.2,73.2,133,340,389,380,209,159,134,112
160,31.188,1434,1528,1462,1380,82.4,97,89.1,93.5,131,289,291,310,230,157,139,112
161,18.872,1437,1569,1431,1471,91.6,107.2,92.8,105.2,129,234,222,239,211,148,127,96
162,16.161,1431,1559,1446,1563,94.3,106,90.6,105.9,134,276,303,309,219,173,142,104
163,6.8126,1394,1512,1512,1496,79.7,103,88.9,90.9,131,388,403,422,247,188,155,113
164,3.4545,1349,1516,1487,1438,74.4,105.7,93.3,88.2,140,453,482,488,222,232,198,145
165,0.59043,2511,2654,2882,1521,101.3,409.5,0,0,109,86,94,92,223,223,188,150
166,2.5839,1466,1584,1963,2130,51.1,79,104.2,89.7,140,131,151,152,57,86,116,131
167,6.1361,1300,1360,1503,1524,70.4,56.6,69.2,58.7,144,180,223,213,135,41,34,30
168,14.73,1331,1358,1420,1351,89,59.6,64.9,58.8,132,290,309,319,194,115,90,70
169,29.821,1419,1469,1517,1510,91,69.1,63.7,65.8,142,337,368,392,192,141,130,95
170,27.74,1411,1398,1507,1512,79.3,71.2,64.1,68,141,299,336,340,204,143,124,94
171,15.724,1440,1466,1494,1359,72.7,94.4,84.4,93.6,130,267,282,286,203,143,120,102
172,10.281,1440,1553,1473,1401,82.6,104.1,90.2,102.4,133,205,200,224,192,142,127,99
173,12.093,1429,1577,1447,1505,92.3,100.1,87,96.9,139,297,315,331,199,151,141,106
174,4.7451,1413,1498,1485,1516,85.4,96.6,85.7,90.9,139,394,422,430,220,169,143,106
175,1.0029,1426,1550,1934,2129,47.5,70.4,96.3,97.5,140,131,151,152,52,82,114,129
176,2.0434,1292,1298,1446,1549,60.9,52.5,65.3,56.2,144,180,223,213,128,44,32,27
177,4.2701,1336,1307,1395,1371,73.7,60.3,68,54.5,132,290,309,319,190,103,78,69
178,9.6563,1397,1495,1501,1484,90.7,71.5,65.3,63,142,337,368,392,196,128,116,79
179,10.807,1389,1418,1467,1513,86.5,68.6,59.4,63.1,141,299,336,340,206,142,125,107
180,6.1433,1459,1407,1508,1413,64.8,81.8,73.1,86.8,130,267,282,286,192,127,114,102
