Ind#,TDose,T1 Pos1,T1 Pos1,T1 Pos3,T2 Pos1,T2 Pos2,T2 Pos3,V Pre,DCE 1,DCE 2,DCE 3,T2w Pos1,T2w Pos2,T2w Pos3
433,1.4805,-162,-56,92,-61.1,0,-127.8,81,97,89,89,-43,-26,-21
434,0.7907,-139,-189,72,7.7,53.3,-137.3,80,92,103,102,-42,-45,-21
435,0.19719,91,74,342,181.2,169,7.5,120,93,105,100,-32,-31,-30
436,0.10206,222,351,473,78,126.2,119.6,149,119,135,124,34,32,-7
437,0.33593,-12,142,-166,8.8,24.3,40.9,156,188,204,212,-45,-26,-19
438,0.45264,-2,78,-126,-7,3.6,11,156,176,196,205,-3,-16,-25
439,3.4248,102,62,104,-4.2,2.8,15.9,160,186,211,216,-32,-32,-16
440,138.34,-9,-51,-5,-1.6,4,12.5,175,201,222,228,-36,-34,-18
441,0.0069003,-64,-76,-53,-0.3,6.1,4.9,168,204,222,233,-30,-34,-18
442,0.016074,75,90,105,5,13.4,-0.1,166,205,226,223,-26,-33,-13
443,0.021752,75,75,76,6.3,11.8,0.8,176,194,225,225,-8,-6,-34
444,0.04877,36,47,1,8.2,10,3.1,162,201,231,241,-24,-22,-29
445,1.0481,-58,-26,63,-58,0,-120.6,83,95,99,97,-22,-29,-4
446,0.27323,-33,-135,139,1.2,57.3,-104.7,87,92,98,106,-28,-46,-11
447,0.077953,136,103,464,69.7,100.6,-20.3,117,92,104,103,-25,-43,-11
448,0.14668,291,401,621,142.4,179.3,111.7,154,112,124,117,41,44,-19
449,0.29553,46,228,-11,21.2,36.4,46.4,156,182,206,209,-31,-2,-25
450,0.23394,-19,135,-96,0.9,10.7,16.1,157,181,209,214,-15,-20,-29
451,0.34529,84,87,56,-1.9,4.2,15.4,170,190,215,224,-17,-13,-12
452,0.89127,-8,-40,-47,-2.5,4,11.2,175,208,232,230,-21,-21,-8
453,0.012234,-68,-107,-114,-3.9,4.3,2.7,161,215,232,233,-11,-15,-19
454,0.015321,79,57,53,1.8,11.4,-3.1,171,207,235,227,-9,-30,-6
455,0.033185,98,89,87,5.9,11.8,0.099998,176,210,221,233,-14,-8,-31
456,0.021032,58,55,23,5.2,7.6,1.3,159,215,233,250,-20,-20,-21
457,0.42814,31,43,25,-57.1,0,-152.9,83,95,99,97,-21,-45,-4
458,0.13906,33,-65,93,-13.1,44,-106.5,87,92,98,106,-26,-49,-7
459,0.13362,182,173,476,53,85,-38.9,117,92,104,103,-32,-46,-17
460,0.14221,339,454,720,269.2,232.1,92.9,154,112,124,117,43,42,-17
461,0.1497,130,276,170,30.5,43,47,156,182,206,209,-17,-16,-2
462,0.13356,16,187,5,5.6,15.4,20.5,157,181,209,214,-32,-43,-19
463,0.047875,92,126,36,-0.099998,4.2,14.4,170,190,215,224,-10,-23,-4
464,0.070693,5,-10,-59,-1.7,2.9,8.3,175,208,232,230,-19,-23,-9
465,0.025493,-69,-128,-149,-5.5,1.7,-0.099998,161,215,232,233,-13,-23,-7
466,0.025092,60,-18,-19,-0.7,8.8,-5.2,171,207,235,227,-15,-36,2
467,0.014902,96,63,65,7.4,13.3,0.9,176,210,221,233,-18,-12,-13
468,0.13661,64,69,50,8.3,10.8,4.8,159,215,233,250,-22,-30,-7
469,0.48865,-1073,-1018,-1166,-58.3,0,-149.6,82,110,113,116,-29,-20,-27
470,0.21649,151,112,-15,-59.2,0,-182.3,77,106,119,124,-27,-39,-14
