Ind#,TDose,T1 Pre,T1 Pos1,T1 Pos1,T1 Pos3,T2 Pre,T2 Pos1,T2 Pos2,T2 Pos3,V Pre,DCE 1,DCE 2,DCE 3,T2w Pre,T2w Pos1,T2w Pos2,T2w Pos3
1,35.138,1628,1970,1697,1636,122.4,97,96.7,95.5,123,120,144,162,181,128,114,197
2,1.4222,1978,1577,1520,1437,108,65.3,72.6,66.8,97,119,131,141,0,21,54,67
3,0.19377,1551,1284,1284,1298,70.6,43.6,50.8,47.1,101,116,144,148,20,66,73,16
4,2.8468,1357,2049,2021,1439,106.4,111.4,111,89.6,123,120,144,162,141,136,130,171
5,1.8551,1628,1672,1606,1362,103.8,76.1,77.7,66.5,97,119,131,141,7,10,84,110
6,0.21967,1497,1338,1318,1301,73.7,46.6,52.9,50.7,101,116,144,148,38,83,101,58
7,98.353,1216,2068,2034,1315,95.5,112.9,111.3,85.3,166,113,137,154,143,160,120,214
8,3.6511,1540,1694,1623,1300,98.5,76.8,77.5,66.2,98,98,117,132,84,34,66,120
9,0.12635,1493,1333,1332,1301,74.7,46,51.2,51.4,106,134,153,161,79,52,75,69
10,0.20697,997,2133,2013,1198,91.6,128.8,103.2,84.7,166,113,137,154,156,313,153,256
11,1.7903,1349,1749,1617,1208,91.1,83,71.7,64.4,98,98,117,132,136,62,105,126
12,0.43217,1451,1358,1322,1282,71.4,48.8,52.2,51.4,106,134,153,161,91,45,96,105
13,2.4506e+14,903,2185,1954,1201,92.1,134.4,102.7,89.2,155,1,2,3,120,372,276,132
14,1.5114,1256,1985,1556,1207,88.1,84.4,69.5,65.5,117,2,7,2,137,31,157,88
15,1.1316,1419,1389,1319,1281,70.4,51.1,53.2,51,111,6,8,9,100,48,151,81
16,0.7115,1058,1726,1312,1127,72.7,93.3,70.3,66.2,95,109,137,146,98,126,199,154
17,0.48989,1235,1348,1219,1232,59,52.7,51.4,54.4,97,106,129,127,107,2,138,37
18,0.18298,1177,1271,1220,1234,54.7,50.8,52.3,53.3,115,149,166,176,41,70,171,72
19,0.10653,1174,1231,1227,1239,55,50.9,54.7,53.7,114,205,225,229,116,53,105,67
20,66.675,759,2088,1358,1255,90.1,150.7,95.6,91.5,167,171,193,236,39,204,309,285
21,2.0607,1020,1688,1326,1251,74.2,93.2,71.9,67.5,123,109,140,141,64,82,260,102
22,1.1373,1212,1322,1221,1235,54.9,52.5,51.1,53.1,106,91,117,107,73,6,127,14
23,0.5308,1167,1269,1212,1232,51,52.3,52.2,53.9,112,119,126,140,44,68,130,51
24,0.27635,1157,1245,1228,1236,52.3,54,55.5,55.7,108,211,237,240,82,68,53,71
25,42.13,734,2056,1125,1618,105.5,145.6,130.4,124.6,167,171,193,236,1,156,289,195
26,2.6126,988,1642,1207,1462,87.9,88.9,86.7,83.7,123,109,140,141,112,146,212,191
27,1.7963,1184,1247,1221,1210,58.9,48,52.4,49,106,91,117,107,76,57,49,63
28,0.70374,1154,1194,1233,1205,49.3,51.5,53.2,48.5,112,119,126,140,78,72,47,62
29,0.13513,1142,1212,1264,1214,49.4,57.8,57.4,51.4,108,211,237,240,68,72,45,93
30,3.9093,722,2071,1110,1759,114.1,149.4,157.5,138.2,108,201,233,269,62,147,246,137
31,3.5074e+05,987,1646,1192,1564,96.1,90.8,99.7,95.7,125,127,154,155,125,170,121,194
32,2.2044,1191,1218,1205,1211,65.1,47.1,53.8,51.2,123,113,111,117,59,83,25,79
33,0.45619,1163,1166,1229,1188,53.1,50.3,54.3,48.4,123,113,113,122,84,54,28,66
34,0.069085,1153,1181,1265,1194,50.3,55.9,58.1,50.4,119,173,202,198,54,50,57,110
35,35.195,1018,1663,1296,1618,106.2,94.9,117.8,102.6,125,127,154,155,110,236,167,142
36,2.0463,1209,1203,1194,1215,68.9,46.3,55.4,55.1,123,113,111,117,8,81,70,45
37,0.2345,1173,1168,1201,1167,55.5,48.6,54.8,50.1,123,113,113,122,73,85,97,92
38,0.048315,1165,1179,1238,1174,51.9,52.8,58.1,51.4,119,173,202,198,64,56,54,107
39,4.9318,1266,1862,1649,1532,155.1,109.4,149.4,103.5,76,149,157,165,164,287,295,179
40,2.205,1301,1193,1214,1194,76,47.2,55.8,56.9,99,137,129,155,10,92,124,54
41,0.18944,1195,1179,1154,1139,56.8,45.5,52,52.8,127,116,137,139,56,75,125,101
42,0.074489,1175,1233,1182,1157,54,48.3,53.6,53.2,134,144,173,173,77,44,74,56
43,191.82,960,2465,2349,2406,124.6,230.2,183.4,230.9,151,98,78,89,232,225,292,272
44,19.607,2008,1659,1603,1640,142.4,82.8,87,87.1,85,97,118,130,232,158,174,216
45,0.77029,2079,1398,1420,1412,126.8,56.3,63.4,62,69,90,102,114,130,44,40,103
46,356.9,775,2523,2403,2375,114.7,237.4,201.9,260,151,98,78,89,159,234,283,231
47,41.397,1873,1700,1638,1646,129.3,86.7,90.9,92.6,85,97,118,130,217,151,176,220
48,2.104,2039,1484,1468,1430,114.6,58,68.9,65.1,69,90,102,114,104,65,89,126
49,3675,642,2541,2469,2270,110.4,248.9,219,257.7,208,50,42,38,104,234,188,202
50,42.821,1628,1970,1697,1636,122.4,97,96.7,95.5,157,112,125,120,197,174,147,170
51,3.7462,1978,1577,1520,1437,108,65.3,72.6,66.8,74,135,157,166,62,57,104,85
