Ind#,TDose,T1 Pos1,T1 Pos1,T1 Pos3,T2 Pos1,T2 Pos2,T2 Pos3,V Pre,DCE 1,DCE 2,DCE 3,T2w Pos1,T2w Pos2,T2w Pos3
1,4.5438,72,-1,-24,2.2,10.9,10,94,167,219,220,30,33,-3
2,2.4734,60,-27,-32,-6,-0.2,6.1,113,206,226,258,31,40,-16
3,1.3752,96,11,12,-9.2,-5.6,-1.4,115,228,252,292,40,40,-18
4,0.91675,194,152,124,-1.2,13.6,-1.5,112,210,270,309,17,16,-13
5,1.9525,-13,-21,-41,2.2,-1.9,0.099998,110,261,256,277,8,8,12
6,2.4292,41,20,2,9.7,4.7,5.8,99,297,319,333,22,53,-22
7,3.6129,54,31,4,6.8,5.6,6.8,112,312,348,374,19,55,-14
8,3.5315,39,13,-1,-3.5,-2.6,-1.7,118,336,368,407,53,57,1
9,2.0321,97,40,45,-12.4,-12.3,-16,123,306,372,413,38,68,-23
10,1.423,131,62,58,-9.3,-13.3,-16.3,123,322,370,429,31,47,-5
11,2.6594,26,29,-4,3.5,-1.8,-0.5,110,261,256,277,19,14,7
12,2.5731,46,57,27,11.2,3.7,4.3,99,297,319,333,31,37,-11
13,5.6449,45,48,16,9.4,4.5,4.5,112,312,348,374,52,48,8
14,5.7726,37,34,2,0.4,-2.6,-1.9,118,336,368,407,54,60,-1
15,3.3295,63,11,12,-14,-14.9,-12.2,123,306,372,413,53,82,-28
16,2.1813,94,19,28,-14.2,-17.2,-12.8,123,322,370,429,51,67,-10
17,3.2172,101,99,49,4.3,2.5,2.5,109,264,258,284,50,17,7
18,2.6476,94,116,70,11.4,6.4,7.4,124,374,398,398,14,3,7
19,6.4316,43,56,27,8,5,4.9,116,415,463,487,47,33,-10
20,7.9807,38,36,4,1.9,-1.1,0.4,116,364,393,429,8,18,1
21,3.6926,52,10,-5,-13.9,-13.4,-8,123,254,269,293,27,31,-8
22,1.9921,67,5,8,-17.7,-16.7,-10.2,117,297,339,374,21,25,-18
23,2.4466,193,173,144,5.4,11.2,15,109,264,258,284,70,47,25
24,1.8983,198,200,154,8.3,11.5,15.9,124,374,398,398,24,23,0
25,3.1988,112,117,90,8.7,8.2,9.6,116,415,463,487,57,38,-18
26,4.0006,73,66,46,5.7,3.6,4.6,116,364,393,429,26,32,-2
