Ind#,TDose,T1 Pos1,T1 Pos1,T1 Pos3,T2 Pos1,T2 Pos2,T2 Pos3,V Pre,DCE 1,DCE 2,DCE 3,T2w Pos1,T2w Pos2,T2w Pos3
1,35.138,342,69,8,-25.4,-25.7,-26.9,123,120,144,162,-53,-67,83
2,1.4222,-401,-458,-541,-42.7,-35.4,-41.2,97,119,131,141,21,54,13
3,0.19377,-267,-267,-253,-27,-19.8,-23.5,101,116,144,148,46,53,-57
4,2.8468,692,664,82,5,4.6,-16.8,123,120,144,162,-5,-11,41
5,1.8551,44,-22,-266,-27.7,-26.1,-37.3,97,119,131,141,3,77,26
6,0.21967,-159,-179,-196,-27.1,-20.8,-23,101,116,144,148,45,63,-43
7,98.353,852,818,99,17.4,15.8,-10.2,166,113,137,154,17,-23,94
8,3.6511,154,83,-240,-21.7,-21,-32.3,98,98,117,132,-50,-18,54
9,0.12635,-160,-161,-192,-28.7,-23.5,-23.3,106,134,153,161,-27,-4,-6
10,0.20697,1136,1016,201,37.2,11.6,-6.9,166,113,137,154,157,-3,103
11,1.7903,400,268,-141,-8.1,-19.4,-26.7,98,98,117,132,-74,-31,21
12,0.43217,-93,-129,-169,-22.6,-19.2,-20,106,134,153,161,-46,5,9
13,2.4506e+14,1282,1051,298,42.3,10.6,-2.9,155,1,2,3,252,156,-144
14,1.5114,729,300,-49,-3.7,-18.6,-22.6,117,2,7,2,-106,20,-69
15,1.1316,-30,-100,-138,-19.3,-17.2,-19.4,111,6,8,9,-52,51,-70
16,0.7115,668,254,69,20.6,-2.4,-6.5,95,109,137,146,28,101,-45
17,0.48989,113,-16,-3,-6.3,-7.6,-4.6,97,106,129,127,-105,31,-101
18,0.18298,94,43,57,-3.9,-2.4,-1.4,115,149,166,176,29,130,-99
19,0.10653,57,53,65,-4.1,-0.3,-1.3,114,205,225,229,-63,-11,-38
20,66.675,1329,599,496,60.6,5.5,1.4,167,171,193,236,165,270,-24
21,2.0607,668,306,231,19,-2.3,-6.7,123,109,140,141,18,196,-158
22,1.1373,110,9,23,-2.4,-3.8,-1.8,106,91,117,107,-67,54,-113
23,0.5308,102,45,65,1.3,1.2,2.9,112,119,126,140,24,86,-79
24,0.27635,88,71,79,1.7,3.2,3.4,108,211,237,240,-14,-29,18
25,42.13,1322,391,884,40.1,24.9,19.1,167,171,193,236,155,288,-94
26,2.6126,654,219,474,1,-1.2,-4.2,123,109,140,141,34,100,-21
27,1.7963,63,37,26,-10.9,-6.5,-9.9,106,91,117,107,-19,-27,14
28,0.70374,40,79,51,2.2,3.9,-0.8,112,119,126,140,-6,-31,15
29,0.13513,70,122,72,8.4,8,2,108,211,237,240,4,-23,48
30,3.9093,1349,388,1037,35.3,43.4,24.1,108,201,233,269,85,184,-109
31,3.5074e+05,659,205,577,-5.3,3.6,-0.4,125,127,154,155,45,-4,73
32,2.2044,27,14,20,-18,-11.3,-13.9,123,113,111,117,24,-34,54
33,0.45619,3,66,25,-2.8,1.2,-4.7,123,113,113,122,-30,-56,38
34,0.069085,28,112,41,5.6,7.8,0.1,119,173,202,198,-4,3,53
35,35.195,645,278,600,-11.3,11.6,-3.6,125,127,154,155,126,57,-25
36,2.0463,-6,-15,6,-22.6,-13.5,-13.8,123,113,111,117,73,62,-25
37,0.2345,-5,28,-6,-6.9,-0.7,-5.4,123,113,113,122,12,24,-5
38,0.048315,14,73,9,0.9,6.2,-0.5,119,173,202,198,-8,-10,53
39,4.9318,596,383,266,-45.7,-5.7,-51.6,76,149,157,165,123,131,-116
40,2.205,-108,-87,-107,-28.8,-20.2,-19.1,99,137,129,155,82,114,-70
41,0.18944,-16,-41,-56,-11.3,-4.8,-4,127,116,137,139,19,69,-24
42,0.074489,58,7,-18,-5.7,-0.4,-0.8,134,144,173,173,-33,-3,-18
43,191.82,1505,1389,1446,105.6,58.8,106.3,151,98,78,89,-7,60,-20
44,19.607,-349,-405,-368,-59.6,-55.4,-55.3,85,97,118,130,-74,-58,42
45,0.77029,-681,-659,-667,-70.5,-63.4,-64.8,69,90,102,114,-86,-90,63
46,356.9,1748,1628,1600,122.7,87.2,145.3,151,98,78,89,75,124,-52
47,41.397,-173,-235,-227,-42.6,-38.4,-36.7,85,97,118,130,-66,-41,44
48,2.104,-555,-571,-609,-56.6,-45.7,-49.5,69,90,102,114,-39,-15,37
49,3675,1899,1827,1628,138.5,108.6,147.3,208,50,42,38,130,84,14
50,42.821,342,69,8,-25.4,-25.7,-26.9,157,112,125,120,-23,-50,23
51,3.7462,-401,-458,-541,-42.7,-35.4,-41.2,74,135,157,166,-5,42,-19
52,0.33212,-267,-267,-253,-27,-19.8,-23.5,114,114,133,131,25,13,-27
53,2.1106e+18,2071,2101,1407,182.4,147.6,90.4,208,50,42,38,202,17,76
54,195.7,692,664,82,5,4.6,-16.8,157,112,125,120,27,-96,36
