Ind#,TDose,T1 Pos1,T1 Pos1,T1 Pos3,T2 Pos1,T2 Pos2,T2 Pos3,V Pre,DCE 1,DCE 2,DCE 3,T2w Pos1,T2w Pos2,T2w Pos3
1,0.58582,50,52,86,-3,8.8,2.5,178,410,433,429,-18,-28,-10
2,2.6212,29,10,23,-6.3,7.4,-3.7,185,407,452,458,-25,-33,-6
3,0.50734,26,1,-53,-2.4,8.7,7.1,181,433,484,475,-79,-110,7
4,0.32484,54,26,-41,-2,10.1,6.3,201,495,551,546,-68,-106,-1
5,0.4166,38,55,101,0.5,2.1,3.4,178,410,433,429,-24,-30,-27
6,256.87,27,11,57,6.2,3.5,5.4,185,407,452,458,-37,-37,-27
7,27.987,61,24,-20,-10.8,-12.8,13,181,433,484,475,-98,-109,-15
8,0.42656,64,42,-83,-6.6,-6.3,20.7,201,495,551,546,-54,-76,-22
9,0.17093,4,1,56,10.6,-3.3,3.1,182,437,481,495,-54,-57,-29
10,158.84,-4,-33,36,18.1,-1.2,10.8,199,451,497,516,-51,-44,-42
11,129.89,70,8,8,-6.6,-13.5,9.8,194,447,496,512,-98,-99,-27
12,0.62064,96,42,-45,-16.1,-15.1,3.9,194,448,505,519,-74,-85,-39
13,0.10224,-14,-41,6,9.4,-12.3,-0.4,182,437,481,495,-51,-73,-19
14,0.13312,-4,-52,15,9.1,-12.8,6.5,199,451,497,516,-39,-60,-23
15,2.0284,87,5,28,-8.6,-5.3,8.5,194,447,496,512,-89,-110,-14
16,0.67587,127,47,-1,-22.7,-9.9,-6.2,194,448,505,519,-80,-117,-7
17,0.11114,-27,-106,-227,-22.9,-34.9,-10.3,179,497,515,537,-43,-72,-16
18,0.089117,56,-21,-58,-29.4,-28.3,7.1,191,508,527,546,-38,-59,-14
19,0.17712,246,196,203,-11,23.4,37.3,200,462,502,520,-40,-63,-18
20,0.17936,-101,-159,-250,-24.5,-22.7,-18,164,328,398,387,-11,-39,8
21,0.26927,-118,-188,-223,-21.9,-21,-12.7,187,315,347,353,-9,-21,-14
22,0.38977,-8,-134,-124,-12.2,-11,-16.7,182,341,371,383,-3,-13,-18
23,0.50859,174,162,201,14,29.1,-13.8,188,304,356,357,-25,-33,-12
24,0.16453,247,285,279,5.5,2.7,7.7,182,258,330,335,11,7,-17
25,0.36769,216,256,220,1.1,0.2,4.2,172,290,326,339,-31,-30,-23
26,0.42052,105,126,21,-7.9,-6.3,-5.1,170,280,344,344,-32,-38,-10
27,0.40158,-37,-107,-228,-18,-14.8,-11.2,164,328,398,387,-9,-11,-38
28,0.91393,-8,-73,-148,-10.2,-9.9,-4.4,187,315,347,353,-6,4,-51
29,2.571,57,-65,-64,1.6,-0.6,-7.7,182,341,371,383,-23,-45,-8
30,0.89102,208,202,172,24.7,30.5,-12.1,188,304,356,357,-58,-83,-5
31,1.1878,281,343,298,122.1,139.9,-18,101,124,140,153,-37,-51,-23
32,1.0013,277,471,429,202.9,201.6,9.4,147,200,224,218,-16,-18,-9
33,0.58101,215,245,248,29.9,41.8,45.4,156,281,322,323,10,-5,-20
34,0.36624,177,203,176,23.7,21.8,38,185,287,375,376,-25,-39,-30
35,0.46283,222,199,231,9.5,11.2,20.2,175,297,370,375,1,8,-32
36,1.1124,194,181,214,7.4,11.1,19.4,188,390,460,470,-35,-29,-32
37,1.3258,113,97,80,7,9.7,19.3,194,424,501,510,-13,-9,-30
38,0.93134,32,-14,-65,12.5,7.4,12.3,172,465,560,546,-17,-19,-26
39,0.85237,47,-6,-33,22.1,11.6,11,193,444,494,485,-25,-43,-28
40,1.2168,47,9,-56,34.1,18,12.4,188,480,517,519,-47,-69,-12
41,1.2121,90,79,40,26.8,19.3,-2.9,178,456,506,506,-66,-90,-34
42,0.29653,292,349,310,80.9,10.6,-49.6,101,124,140,153,-47,-82,-11
43,0.86575,319,464,516,74,38.5,1.3,147,200,224,218,-35,-55,9
44,1.1173,211,232,295,13,31.6,42,156,281,322,323,-6,-20,-18
45,34.086,169,169,202,16.7,25.5,41.4,185,287,375,376,-33,-41,-37
46,4.8834,179,168,201,14.7,18.7,32.3,175,297,370,375,0,-14,-12
47,3.3645,126,145,192,10.5,14.1,31.5,188,390,460,470,-47,-59,-16
