Ind#,TDose,T1 Pos1,T1 Pos1,T1 Pos3,T2 Pos1,T2 Pos2,T2 Pos3,V Pre,DCE 1,DCE 2,DCE 3,T2w Pos1,T2w Pos2,T2w Pos3
1,0.069696,1106,133,-228,0,-64.7,-245.9,134,141,202,212,-33,21,-54
2,0.012241,1127,22,-40,-66.3,-44.4,-210.1,146,122,179,197,13,42,-66
3,0.0045884,871,72,74,-22.8,-14.7,-82,117,158,203,241,-7,-17,12
4,0.0037179,312,89,81,-8,-3.7,-21.6,131,149,213,227,0,11,-13
5,0.0073185,21,-36,-11,-4,-1,-1.1,152,158,189,231,2,17,-7
6,0.0048037,18,-37,-3,-6.6,0.6,-2,139,191,199,219,4,2,2
7,0.0019924,-23,29,-15,-6.6,3.2,2.2,134,208,216,231,-4,15,-9
8,0.021454,713,-237,-445,201.6,194.5,13.6,134,141,202,212,17,57,-47
9,0.015296,811,-189,-277,55.1,145.7,-107.4,146,122,179,197,28,41,-45
10,0.0075407,657,-8,-82,5.2,23.8,-56.3,117,158,203,241,24,-7,45
11,0.0047903,238,86,20,-3.6,1.6,-16.9,131,149,213,227,35,22,19
12,0.00789,17,-27,-57,-2.2,2.6,-0.2,152,158,189,231,-6,2,5
13,0.0051941,20,-22,-49,-4.8,1.2,-3.1,139,191,199,219,0,18,-3
14,0.0037386,27,73,24,-4.5,2.6,4.2,134,208,216,231,15,25,-13
15,0.065454,503,-422,-562,222,198.9,38.4,132,195,225,257,41,106,-43
16,0.040336,552,-343,-444,128.7,212.5,-37.5,137,132,193,236,39,69,-26
17,0.010363,554,-27,-119,32.2,46.8,-24,112,135,233,269,27,1,28
18,0.0099239,214,80,13,4.2,7.8,-7.1,127,179,270,232,30,20,16
19,0.0073804,33,1,-40,0.8,4.4,0.8,145,167,230,243,3,-7,16
20,0.0038458,40,12,-31,-2.3,2.6,-1.7,142,208,211,241,2,10,16
21,0.005239,38,77,40,-4.5,-0.5,3.1,135,243,242,257,17,11,-10
22,0.033585,290,-617,-712,192.4,152.5,-4.6,132,195,225,257,58,154,-46
23,0.01926,403,-337,-454,150.1,215.6,1.1,137,132,193,236,48,65,7
24,0.023511,486,8,-94,46.5,59.3,1.1,112,135,233,269,5,21,-24
25,0.0089291,202,96,37,9.2,11.8,1.1,127,179,270,232,8,18,-30
26,0.0065764,45,18,-8,3.2,5.2,1.9,145,167,230,243,6,13,0
27,0.0066184,58,45,9,-0.3,4.2,0.2,142,208,211,241,4,7,6
28,0.0061499,46,70,45,-5.5,-3.6,1.8,135,243,242,257,32,9,19
