Ind#,TDose,T1 Pos1,T1 Pos1,T1 Pos3,T2 Pos1,T2 Pos2,T2 Pos3,V Pre,DCE 1,DCE 2,DCE 3,T2w Pos1,T2w Pos2,T2w Pos3
1,1.4591,-297,-235,-260,-46,-81.3,-85.9,181,282,263,275,-25,-38,-12
2,3.9411,-642,-612,-666,-137.6,-196.5,-205.9,175,265,271,267,-26,-44,-10
3,12.344,-505,-705,-1018,372.7,115.5,83.2,177,276,282,302,5,-26,-27
4,1.0138,-253,-207,-229,-45.9,-75.5,-69.5,185,268,263,278,-20,-33,-2
5,2.9422,-631,-606,-647,-126.1,-172.2,-167.1,188,278,274,284,-7,-38,2
6,9.9843,-551,-754,-1029,327.4,101.5,84,177,286,290,311,12,-11,-33
7,0.54728,-156,-131,-150,-30.6,-58.7,-46,185,268,263,278,29,-12,-20
8,1.7676,-565,-562,-591,-96.1,-140.8,-122.5,188,278,274,284,29,6,-15
9,6.9533,-617,-857,-1004,307.2,97.6,89.3,177,286,290,311,21,-19,-35
10,0.282,-27,2,-11,-16.7,-24.2,-16.5,179,255,278,292,19,-19,-30
11,0.81349,-264,-263,-306,-65.7,-91,-78.9,189,263,277,309,19,16,-19
12,3.561,-767,-869,-954,319,100.2,91.9,184,275,284,314,4,-35,-29
13,1.1031,-285,-217,-207,-42.4,-63.5,-48.4,170,280,269,267,12,0,-30
14,3.6715,-665,-616,-626,-79.5,-124.4,-104.4,167,301,279,260,-11,-28,-20
15,9.5614,-562,-670,-893,409.5,215,185.8,174,303,283,277,-21,-45,-39
16,1.3273,-236,-253,-265,-35.3,-73.5,-62.5,170,280,269,267,-6,-24,-19
17,4.8041,-583,-630,-656,-68.4,-153.3,-143.1,167,301,279,260,-22,-33,-23
18,13.093,-507,-595,-842,0,296.5,221.3,174,303,283,277,4,-16,-39
19,1.0439,-184,-233,-284,-32,-82.7,-69.4,181,288,293,298,-13,-30,-15
20,3.5908,-509,-607,-660,-78,-172.4,-170.6,177,294,308,305,-15,-23,-20
21,12.844,-427,-529,-689,0,409.5,224.2,170,288,303,313,-11,-24,-23
22,0.12842,169,137,191,22.1,-5.9,-0.2,151,250,241,224,-45,-74,0
