Ind#,TDose,T1 Pos1,T1 Pos1,T1 Pos3,T2 Pos1,T2 Pos2,T2 Pos3,V Pre,DCE 1,DCE 2,DCE 3,T2w Pos1,T2w Pos2,T2w Pos3
1,3.6459e+23,761,54,213,-177.9,-82.4,-244.6,76,46,40,38,16,-6,9
2,1.7661e+25,619,297,197,-103.6,10.1,-183,56,45,49,66,0,22,-11
3,1.4886e+31,38,202,58,301,-62.1,153.4,61,32,37,43,-4,5,-9
4,3223.3,65,95,48,-31.1,57.4,233.5,43,1,9,21,9,-2,5
5,1.0864e+17,138,7,112,-64.2,112.2,137.4,73,5,9,17,7,2,3
6,9673,-6,-102,206,163.9,114.3,12.7,89,41,35,30,-22,-20,2
7,5733.3,-31,-81,244,230,-44.1,17.6,98,61,49,52,-16,-23,7
8,2.6203e+20,-35,-10,64,86.4,-48.6,-10.2,124,26,34,45,-9,-11,11
9,4.17e+12,-108,-145,-46,24.1,1.7,-61.3,101,39,55,55,-9,-3,5
10,3.338e+16,139,250,-29,34.7,21.1,-47.4,76,66,68,64,4,-8,-9
11,Inf,164,80,51,54.9,95,-20.2,98,59,63,58,14,7,-18
12,2.8767e+34,225,-47,425,2.3,260,-23.3,103,37,19,27,2,12,-14
13,1.395e+19,195,-95,404,-27.3,315.9,-33.1,72,64,37,52,-14,-16,-4
14,Inf,248,120,110,-81.8,57.7,-12.1,63,72,45,73,-21,-19,-5
15,3.4753e+21,527,522,485,4.5,31.9,-23.5,109,49,29,33,-23,-27,11
16,1.4175e+29,472,667,959,35.7,53.9,6.6,147,31,25,9,-9,-3,-2
17,1.9428e+19,328,247,642,82.5,99.7,35.9,136,19,30,34,4,11,-13
18,1.3165e+36,322,313,494,24.6,106.6,2,87,9,43,31,0,-12,-2
19,5.1839e+17,474,407,368,-22.6,113.7,-42.7,57,9,22,12,9,9,-2
20,2.4012e+16,595,387,435,-9.8,25.5,-54.2,120,45,56,59,10,-7,-4
21,1.3974e+29,-52,-232,129,-138.5,-121.7,-184.5,37,23,21,8,21,9,-4
22,1.0028e+21,-144,-306,80,142,-18.4,-133.9,80,16,30,20,-13,14,-23
23,2.0936e+25,446,-13,-70,67.5,-123.8,-66.9,95,4,5,21,-16,0,-5
24,30498,-4,18,-76,-18.2,-51.3,-75.5,85,23,14,32,20,9,4
25,47464,175,23,7,-10.3,21.9,-59.5,66,29,22,31,9,20,-14
26,2.1704e+06,3,-14,33,5.2,173.1,1.4,78,13,10,5,-12,-16,-2
27,1.1806e+16,-2,159,98,99.6,-71.1,170.3,110,14,5,22,-7,-12,3
28,7.8439e+25,-59,207,199,164.6,-1.4,25.8,72,41,25,20,-5,0,0
29,2.2975e+08,-26,-46,166,38.2,65.9,-31.7,75,20,32,19,-2,-2,-2
30,4811.9,-63,-111,183,19.1,27.6,-32.3,102,27,20,8,5,-4,-3
31,1.6132e+34,-124,30,192,3.7,-10,-8.1,95,26,23,11,-14,-19,-2
32,2.6214e+12,-80,11,136,15.8,80.1,19.5,108,62,60,34,-9,-3,19
33,4.7133e+14,-126,-136,7,-20.5,49.7,13.4,85,98,102,112,-25,-21,3
34,9.5169e+22,-110,-37,-52,-125.4,-25.2,60.2,54,84,79,91,-23,-4,-12
35,9.8253e+16,260,82,39,-122.8,-27.8,33.3,117,67,40,57,-18,-7,7
36,1.9699e+19,583,197,171,-22.5,-18,-18.1,147,66,58,63,11,2,-4
37,2.6543e+23,663,267,452,-25.3,-1.6,-23.6,180,39,21,34,-11,7,-14
38,3.7988e+17,463,266,385,-20.5,40.5,6.2,138,24,21,21,-16,-18,0
39,2266.6,549,519,248,32.6,85.9,33.9,121,21,33,21,-7,-9,4
40,1.2796e+15,670,342,620,127.2,180.3,-14.8,81,53,65,78,0,16,-14
41,4.4378e+17,-139,-235,-206,67.5,77.3,2.8,37,23,21,8,9,2,3
42,1.341e+26,21,-97,-53,181.7,88.2,-8.6,80,16,30,20,-7,-9,0
43,2.098e+25,156,-192,-142,90.5,-137.7,-119.4,95,4,5,21,9,-5,3
44,1.8465e+20,170,-62,-105,-153.8,-163.8,-161.1,85,23,14,32,4,2,16
45,1.8221e+05,8,-10,-134,-213.6,-148.5,-259.1,66,29,22,31,-11,2,-13
46,8.9319e+19,111,136,128,-88.5,-106.5,-134.2,78,13,10,5,11,0,-7
47,3.0085e+25,40,157,123,132.3,-100.4,275.6,110,14,5,22,7,3,-7
48,7.9435e+22,35,119,268,214.3,-45.1,-4.8,72,41,25,20,9,20,-20
49,7.3941e+09,312,88,329,44.4,-1.1,-69.6,75,20,32,19,7,-2,4
50,1.4974e+22,120,-26,312,-21.3,-2.9,-71.4,102,27,20,8,-4,-4,11
51,21650,5,130,322,-37.8,51.9,-43,95,26,23,11,-2,-9,-5
52,8.537e+18,-7,99,152,-5.1,70.7,1.8,108,62,60,34,9,7,2
53,1.1088e+12,-67,-37,65,-22.6,36.4,14.6,85,98,102,112,-11,-11,11
54,9.0068e+22,-95,61,31,-124.5,-39.3,238.5,54,84,79,91,11,18,7
55,9.4384e+35,-24,150,151,-98.5,-5.9,141.1,117,67,40,57,-11,19,-24
56,7.3063e+22,407,400,218,11.5,17.3,32.3,147,66,58,63,10,1,-1
57,8.1041e+16,561,396,408,-111.2,-95.1,-91.8,180,39,21,34,4,-2,-1
58,2045.1,548,377,446,-66.1,-8,-23.3,138,24,21,21,-2,-11,0
59,1.3559e+19,950,452,491,66,46.2,124,121,21,33,21,-3,-3,-4
60,4.261e+07,654,228,407,179.6,134,57.3,81,53,65,78,11,11,-11
