Ind#,TDose,T1 Pos1,T1 Pos1,T1 Pos3,T2 Pos1,T2 Pos2,T2 Pos3,V Pre,DCE 1,DCE 2,DCE 3,T2w Pos1,T2w Pos2,T2w Pos3
74,0.0031906,43,24,29,3.2,1.9,2.2,125,128,119,149,4,-9,4
75,0.0099197,34,18,27,3.5,2,3.4,122,98,80,130,-4,33,1
76,0.088337,36,27,28,2.5,1,4.1,124,72,92,95,-22,-6,38
77,0.0074905,8,10,6,1.2,-1,0.8,129,54,90,85,6,0,21
78,0.006114,44,45,30,-3.6,-4.1,-0.7,108,142,155,158,12,2,-8
79,0.0030755,42,29,31,-0.9,-2.4,1.3,121,138,149,144,2,-5,3
80,0.012645,55,30,29,5.2,1.7,6.3,115,143,148,138,23,15,7
81,0.064905,72,44,35,5.7,2.6,5.8,107,149,159,140,29,16,1
82,0.013891,57,27,20,4.2,3.3,4.3,118,163,166,155,12,13,4
83,0.0058641,50,23,1,2.7,1.3,3.5,109,133,148,166,7,11,11
84,0.004515,54,26,-6,1.9,-0.7,2.1,119,139,117,153,3,18,0
85,0.0021305,50,26,26,3.1,-1.2,0.4,125,128,119,149,8,-2,6
86,0.01827,41,20,38,2.9,-1.2,1.1,122,98,80,130,-14,-8,24
87,0.013001,47,28,39,2.6,-1.1,2.6,124,72,92,95,3,-10,29
88,0.0040649,36,29,26,2.7,-2.3,0.8,129,54,90,85,2,-8,-1
89,0.006063,39,30,21,-3,-0.5,1,108,121,149,130,-1,5,-6
90,0.011356,59,23,40,-0.3,-1.8,1.2,123,116,141,133,-6,-9,2
91,0.009588,74,41,52,3.8,0.3,4.7,114,132,155,136,-1,-3,-6
92,0.032449,69,49,39,4,1.2,5.3,108,151,153,156,5,3,1
93,0.012046,58,29,39,3.6,-0.2,4.2,120,171,160,167,-1,0,6
94,0.0092449,65,36,42,1.9,-0.8,3,120,147,170,187,19,23,13
95,0.0025867,75,51,32,0.7,-0.9,1.7,120,151,155,171,-12,7,-8
96,0.0032906,55,48,12,0.7,-2.4,-1.2,122,157,156,165,0,-5,12
97,0.0037119,36,31,19,1.2,-2.7,0.099998,121,138,137,167,-4,29,-32
98,0.0052563,30,35,38,0.8,-2.1,1.4,122,141,141,146,19,46,-46
99,0.0041579,43,58,56,1.6,-1.9,-0.5,128,133,141,141,-4,-36,40
100,0.015016,12,9,0,-0.6,1.2,3.9,108,121,149,130,-3,7,-5
101,0.0097503,31,7,14,1.2,-0.099998,3.4,123,116,141,133,-1,3,-4
102,0.0020761,59,34,45,1.7,-0.3,4.5,114,132,155,136,-20,-22,0
103,0.030789,55,43,31,2.2,1.2,5.2,108,151,153,156,-19,-20,9
104,0.2052,45,25,26,3.9,1.6,5,120,171,160,167,-11,-11,13
105,0.012713,51,30,36,2.3,0.8,3.8,120,147,170,187,-3,-2,13
106,0.0076112,63,52,38,0.6,0.9,2.4,120,151,155,171,3,-4,8
107,0.0090767,52,54,13,0.6,0.7,0.1,122,157,156,165,27,15,10
108,0.0047069,32,39,17,1.1,0.5,1,121,138,137,167,-27,19,-17
109,0.0048189,18,31,29,1.2,1.1,2.6,122,141,141,146,-28,3,0
110,0.061703,32,60,62,1.2,0.4,0.6,128,133,141,141,-5,-38,39
111,0.34818,47,37,11,1.7,1.1,3.1,110,78,91,48,-16,-21,-7
112,0.042776,36,36,0,-1.3,-0.9,1.4,120,56,71,61,-3,7,0
113,0.0084317,27,45,5,-0.4,-3.6,4.1,127,64,86,65,1,9,-9
114,0.0041874,27,35,15,0.8,-3,5,126,56,79,73,-6,-16,8
115,0.047237,34,37,28,1.9,-0.6,3.1,128,159,108,149,4,-11,0
116,0.11656,39,51,26,2.6,-0.6,2.7,133,38,86,130,-14,-2,-21
117,0.015884,46,57,19,2.7,-0.6,3.5,135,37,22,31,14,9,-1
118,0.0016826,41,36,18,-0.1,-0.6,1.7,135,26,19,47,-10,-11,2
119,0.12643,26,21,6,-0.9,-0.9,-0.8,131,29,25,26,-13,8,-39
120,0.31503,19,20,0,-0.9,-0.9,-2.8,141,18,9,13,31,-3,0
121,0.12343,64,78,58,-4.6,-5,-5.1,133,54,19,19,9,15,-49
122,0.012128,49,41,23,0.9,0.6,2.4,110,78,91,48,-18,-11,-2
123,0.0054138,36,39,11,-1.7,-1.1,0.6,120,56,71,61,6,8,0
124,0.00090198,22,40,24,-0.9,-3.1,2.2,127,64,86,65,-2,5,-20
125,0.0022853,18,28,32,0.3,-3.2,3.7,126,56,79,73,-5,-8,16
126,0.022442,24,20,35,1.4,0.8,3.9,128,159,108,149,-11,-13,21
127,0.094613,40,37,32,3.2,1.9,3.9,133,38,86,130,16,24,-10
128,0.010528,61,59,29,3.2,0,3.4,135,37,22,31,22,22,-3
129,0.00495,47,51,16,0.1,-1.3,1.5,135,26,19,47,8,-9,0
130,0.030739,11,22,-3,-1.7,-0.2,-0.3,131,29,25,26,6,22,-24
131,0.11332,-5,8,-10,-2.4,-0.3,-2.7,141,18,9,13,8,-14,-33
132,0.0069243,20,48,38,-8.1,-6.3,-7.7,133,54,19,19,17,-12,-39
133,0.0061915,55,44,25,0.9,1,2.4,106,102,90,91,-10,-11,4
134,0.013267,34,35,14,-2.3,-0.9,0.6,112,82,95,84,6,11,-6
135,0.0053591,18,16,13,-0.6,-1.6,2.1,113,90,106,95,11,16,-2
136,0.011574,15,6,23,0.7,-2.1,3.4,108,79,85,104,7,12,0
137,0.030726,21,11,30,1.6,1.7,4.1,115,113,80,102,1,2,1
138,0.024362,39,29,34,3.2,3.2,4.8,124,85,114,124,6,21,-19
139,0.023722,63,51,40,4.3,1.6,4.1,129,51,40,42,-8,0,0
140,0.012369,52,59,24,2.6,-1.3,1.2,137,36,41,60,11,-16,12
