Ind#,TDose,T1 Pre,T1 Pos1,T1 Pos1,T1 Pos3,T2 Pre,T2 Pos1,T2 Pos2,T2 Pos3,V Pre,DCE 1,DCE 2,DCE 3,T2w Pre,T2w Pos1,T2w Pos2,T2w Pos3
62,1.0691,1397,1370,1399,1386,97.4,80.7,73.2,80.9,182,272,295,285,74,102,67,41
63,3.3095,1699,1435,1436,1393,166.2,100.5,75.2,87.3,174,278,296,304,124,83,63,51
64,17.483,2430,1663,1561,1476,0,319,100.2,91.9,179,293,314,313,144,99,77,51
65,0.72582,1139,1346,1393,1424,72.9,75.6,68.3,72.7,171,282,297,299,92,92,77,50
66,0.94111,1352,1362,1407,1409,101.2,77.8,77,81.6,182,272,295,285,83,102,62,48
67,1.8873,1663,1401,1422,1388,168.6,97.3,80.8,86.1,174,278,296,304,131,94,52,45
68,6.5611,2385,1612,1536,1436,0,338.7,101.8,88.4,179,293,314,313,156,104,70,35
69,0.72502,1124,1380,1421,1456,71.6,72.3,67.6,70,171,269,287,278,103,92,70,40
70,0.90532,1327,1379,1429,1442,104.7,75.2,74.2,76,170,269,288,292,75,132,67,44
71,1.2662,1638,1396,1425,1412,175.7,94.9,79.5,81.1,171,292,304,313,154,86,51,39
72,0.36781,1375,1405,1422,1401,94.1,89.6,91.8,100,156,249,255,269,75,90,69,49
73,0.75554,1665,1425,1437,1440,130.6,86.9,84.4,99,173,263,281,282,75,93,64,41
74,3.4266,2105,1455,1469,1490,194,102.8,78.4,101.1,162,310,288,289,108,88,62,44
75,0.6509,1431,1401,1454,1451,98.2,89.8,84,96.7,156,249,255,269,82,91,77,46
76,2.2159,1690,1411,1468,1467,135.8,91.3,80.4,98.6,173,263,281,282,86,94,79,44
77,8.1516,2114,1450,1488,1486,198.1,111.2,80.7,104.6,162,310,288,289,106,89,66,47
78,26.624,2495,1840,1726,1602,0,377.6,179.1,172.6,155,310,319,302,94,89,67,48
79,0.71645,1467,1413,1465,1478,100.4,85.4,78.3,85.1,160,266,263,255,90,96,72,49
80,3.847,1706,1421,1489,1499,140.3,97.9,76.8,91.9,163,270,278,278,84,87,75,47
81,14.91,2132,1467,1516,1506,209.4,129.9,85,105,168,301,281,280,137,85,69,44
82,60.837,2511,1949,1841,1618,0,409.5,215,185.8,167,307,296,288,120,81,76,39
83,0.59698,1482,1465,1471,1447,105.3,82.8,70.9,75.7,160,266,263,255,87,85,60,50
84,4.1635,1750,1514,1497,1485,153.2,117.9,79.7,90.7,163,270,278,278,89,79,74,54
85,18.85,2182,1599,1552,1526,264,195.6,110.7,120.9,168,301,281,280,122,90,74,47
86,84.793,2593,2086,1998,1751,0,0,296.5,221.3,167,307,296,288,109,94,72,42
87,0.49445,1492,1496,1493,1442,115.2,92.9,70.4,81.9,167,280,285,292,99,81,65,50
88,3.254,1758,1574,1525,1474,170.6,138.6,87.9,101.2,164,276,285,310,96,85,77,57
89,14.377,2186,1677,1579,1526,307.4,229.4,135,136.8,176,281,304,303,92,97,75,56
90,47.86,2606,2179,2077,1917,0,0,409.5,224.2,162,277,312,314,75,99,69,47
91,0.43406,1527,1519,1513,1462,129.1,111.3,72.2,92.2,167,280,285,292,75,98,76,49
92,2.3703,1762,1631,1563,1487,200,178.7,99.7,116.2,164,276,285,310,79,84,72,47
93,7.613,2197,1740,1622,1546,371.9,287.6,165.1,148.8,176,281,304,303,85,94,57,57
94,18.274,2594,2273,2139,2002,0,0,0,202.4,162,277,312,314,72,95,67,51
95,0.30267,1630,1533,1499,1483,160,165.3,80.9,108.3,169,290,276,298,67,110,72,52
96,1.6337,2105,1684,1600,1555,286.3,330.7,127.3,139.1,174,288,294,308,76,94,71,46
97,4.2376,2321,2034,1802,1632,0,0,218.6,154.3,175,278,308,311,89,94,64,51
98,6.9089,2601,2465,2250,2106,0,0,0,143.7,148,263,319,315,89,101,64,51
99,0.83131,2142,1718,1616,1587,336.4,388.5,143,135.8,174,288,294,308,96,89,75,62
100,2.4281,2406,2065,1899,1820,0,0,250.8,147.3,175,278,308,311,95,104,79,52
101,2.8296,2647,2510,2311,2159,0,0,0,125.8,148,263,319,315,111,107,82,64
102,0.25106,1129,1318,1274,1328,49.6,57,50.9,45.9,164,215,237,238,95,106,82,56
103,1.1747,1195,1364,1332,1386,57,79.1,51.1,56.8,161,235,236,240,86,60,53,25
104,4.3456,1360,1452,1406,1447,90,97.1,53.1,63.8,144,242,256,243,78,69,58,34
105,20.929,2099,1969,1595,1675,211.1,173.1,89.3,70.1,157,250,252,263,88,82,38,49
106,0.10363,1121,1290,1254,1152,64.6,55.2,54.2,57.7,147,230,260,239,101,89,64,39
107,0.44008,1114,1312,1273,1310,50,49.5,53,43,164,215,237,238,97,93,61,23
108,1.7998,1158,1357,1333,1378,50.4,67.7,55.9,60.4,161,235,236,240,101,95,75,41
109,7.871,1282,1432,1393,1436,77,88.5,57,69.7,144,242,256,243,85,93,57,29
110,45.983,2034,1833,1515,1621,172.5,144.1,85.2,60.7,157,250,252,263,91,79,34,38
111,195.93,2298,2097,1866,1785,291.1,314.1,128,63.6,159,245,260,260,91,90,50,32
112,0.27943,1112,1273,1276,1169,62.4,62.8,52.2,59.6,155,207,263,229,72,52,34,12
113,0.85648,1099,1271,1259,1292,53,41.6,49.3,40.8,160,212,239,249,84,54,36,23
114,2.7467,1128,1317,1340,1366,48.5,56.1,55.7,58.5,166,254,251,255,123,111,61,27
115,9.7888,1223,1390,1396,1427,63.5,79.4,59.3,68.6,163,246,258,259,100,78,41,23
116,66.925,1719,1632,1464,1568,150.7,120.7,77.5,54.2,157,249,263,268,110,76,62,47
117,312.35,2207,1970,1558,1698,234.5,209.8,107.8,57,155,244,272,281,86,95,62,42
118,0.6362,1111,1254,1276,1236,63.6,61,54.1,68.3,155,207,263,229,59,31,14,18
119,1.7065,1061,1259,1247,1271,60.3,38.6,40.4,50.4,160,212,239,249,74,42,33,29
120,4.5291,1054,1278,1326,1336,56,46.5,46.3,54.4,166,254,251,255,97,84,48,25
121,10.967,1097,1321,1393,1397,56.9,74.2,55.2,61.8,163,246,258,259,97,72,61,48
122,51.746,1555,1516,1449,1503,112.2,122.7,70,58.2,157,249,263,268,118,100,74,35
123,260.85,2031,1644,1503,1548,191.5,160.5,77.3,58,155,244,272,281,107,94,57,26
124,0.50616,1220,1356,1355,1345,71.2,57.7,70.7,82.8,168,221,256,243,78,54,64,39
125,1.0051,1137,1289,1288,1272,67.3,58.1,60.3,74.5,164,206,260,244,80,58,32,37
126,2.5349,1062,1319,1282,1282,61,43.3,45.7,63,168,230,251,249,80,58,41,33
127,5.6502,1037,1332,1344,1329,57.4,49.7,46.3,62.2,169,251,274,279,72,82,51,49
128,10.087,1057,1337,1397,1372,57.7,74.2,53.4,61.7,178,256,269,277,88,94,61,51
129,27.3,1470,1441,1444,1468,102.2,125.2,72.7,62.5,167,259,291,284,106,94,61,20
130,144.69,1980,1551,1494,1519,173.4,156.3,78.1,63.8,163,273,303,307,107,86,51,22
131,424.02,2201,1662,1562,1546,336.1,232,87.6,72.3,159,286,307,325,83,87,80,42
132,0.55019,1251,1410,1394,1361,72.1,67.7,75.8,82.4,168,221,256,243,111,82,77,43
133,1.2012,1171,1319,1331,1298,67.3,60.9,67.8,72.7,164,206,260,244,100,78,71,51
134,2.7553,1088,1356,1330,1306,58.8,52.2,62.3,71,168,230,251,249,91,65,64,44
135,5.5684,1051,1380,1366,1332,54.3,55.5,59,67.2,169,251,274,279,80,83,52,53
136,8.5915,1038,1373,1397,1343,53.7,66.3,55.4,57.8,178,256,269,277,83,85,46,46
137,16.615,1342,1342,1407,1370,91.9,92.2,62.4,56.6,167,259,291,284,76,81,70,34
138,74.96,1664,1367,1429,1404,153.8,107.8,72.5,67.9,163,273,303,307,112,73,72,38
139,313.24,2098,1456,1486,1432,280.5,142.9,84,74.6,159,286,307,325,101,83,102,58
140,362.9,2523,2018,1818,1505,0,372.7,115.5,83.2,150,238,260,278,76,89,82,48
141,0.48001,1251,1416,1386,1373,73.2,69.8,85.5,77.3,172,240,252,264,110,100,81,54
142,1.1486,1172,1318,1326,1295,66.5,62.9,72.2,65.8,174,225,243,254,98,75,77,48
143,2.4338,1094,1328,1322,1289,58.7,51.3,60,64.1,165,237,247,247,77,75,72,50
144,4.7099,1055,1350,1342,1312,55.2,52.1,59.7,62.6,167,238,260,276,81,83,62,60
145,7.279,1033,1350,1356,1324,54.2,61.2,56.8,55.3,168,258,281,280,73,89,58,60
146,11.314,1282,1337,1379,1347,82.2,78.6,52.8,51.7,160,278,300,298,89,85,62,39
147,34.152,1603,1350,1396,1374,135.7,89.8,60.2,66.2,167,299,311,313,136,91,72,35
148,180.33,2045,1414,1439,1398,245.5,119.4,73.3,78.4,154,300,305,328,119,105,92,45
149,494.78,2499,1948,1745,1470,0,327.4,101.5,84,158,276,292,323,70,99,90,33
150,0.5501,1246,1433,1382,1367,76.3,68.2,99.1,73,172,240,252,264,99,79,71,44
151,1.118,1170,1326,1308,1280,67.6,63.7,80.9,60.3,174,225,243,254,82,77,64,41
152,2.1423,1095,1318,1308,1252,59.5,48.8,52.7,58.4,165,237,247,247,68,81,76,47
153,3.7769,1060,1331,1321,1277,57.8,47.7,53.8,58.9,167,238,260,276,84,85,74,58
154,5.8276,1032,1324,1327,1299,57.5,57.3,56.6,55,168,258,281,280,82,93,72,58
155,8.3303,1229,1340,1361,1345,74.1,75.6,52.8,53.5,160,278,300,298,122,78,64,39
156,15.771,1523,1367,1392,1373,113.4,82.8,54.7,67.4,167,299,311,313,137,107,72,37
157,92.389,1988,1423,1426,1397,205.6,109.5,64.8,83.1,154,300,305,328,146,92,80,41
158,503.28,2486,1869,1629,1482,0,307.2,97.6,89.3,158,276,292,323,76,84,86,61
159,0.78617,1205,1432,1397,1316,76.7,63.1,90.3,67.2,169,265,262,286,94,68,56,30
160,1.1317,1147,1338,1303,1234,66.9,65.4,76.3,58.7,180,245,243,262,81,79,76,50
161,1.9309,1102,1335,1297,1209,57.6,52.3,51.5,62.3,160,239,252,268,93,83,84,50
162,3.1805,1079,1354,1337,1248,56.8,46.2,48,63.9,178,243,256,269,75,91,82,46
163,4.2218,1050,1339,1354,1307,58.6,56.3,51.5,62.5,170,259,287,276,91,84,80,48
164,5.508,1161,1329,1369,1382,72.2,78.4,69.3,69.3,154,307,310,318,91,96,78,41
165,9.5395,1397,1370,1399,1386,97.4,80.7,73.2,80.9,168,320,322,312,121,92,73,44
166,38.507,1699,1435,1436,1393,166.2,100.5,75.2,87.3,158,307,307,322,163,82,83,58
167,165.25,2430,1663,1561,1476,0,319,100.2,91.9,160,301,306,332,107,100,136,94
168,0.99463,1168,1390,1358,1298,73,61.1,74.9,67.6,169,265,262,286,70,75,55,33
169,1.1964,1122,1304,1286,1220,64.1,65.9,60.5,60.4,180,245,243,262,90,79,75,53
170,1.8634,1095,1319,1282,1205,54.7,54.6,56.4,64.6,160,239,252,268,88,88,72,59
171,2.7304,1079,1363,1333,1264,53.4,47.3,55.4,66.4,178,243,256,269,86,106,79,48
172,3.3676,1055,1371,1371,1338,54.9,56.1,54.4,65.2,170,259,287,276,88,98,74,53
173,4.2763,1139,1346,1393,1424,72.9,75.6,68.3,72.7,154,307,310,318,68,89,80,41
174,7.4054,1352,1362,1407,1409,101.2,77.8,77,81.6,168,320,322,312,130,68,63,50
175,19.164,1663,1401,1422,1388,168.6,97.3,80.8,86.1,158,307,307,322,193,105,73,48
176,38.617,2385,1612,1536,1436,0,338.7,101.8,88.4,160,301,306,332,118,167,163,73
177,0.87897,1131,1351,1282,1290,69,59.3,67.6,71.5,156,250,262,276,76,87,76,47
178,1.1878,1086,1265,1239,1214,62,64.6,48.8,61.4,165,242,250,265,82,83,69,51
179,1.6268,1074,1286,1270,1206,53.3,54.5,56.7,61.6,157,240,242,279,82,89,73,53
180,2.2167,1064,1353,1312,1273,51.5,47.6,64.6,63.1,171,245,265,269,113,113,79,56
181,2.9195,1050,1393,1356,1360,51.8,56.6,64.9,64.6,173,253,285,274,100,105,81,58
182,4.0315,1124,1380,1421,1456,71.6,72.3,67.6,70,164,291,310,298,84,80,80,48
183,6.5027,1327,1379,1429,1442,104.7,75.2,74.2,76,162,313,325,307,151,74,80,48
184,10.878,1638,1396,1425,1412,175.7,94.9,79.5,81.1,167,314,334,337,224,94,62,39
185,0.69162,1095,1311,1217,1225,63,51.3,59,70.1,156,250,262,276,96,94,73,54
186,1.0497,1038,1251,1164,1172,60.3,56.4,46.2,61.4,165,242,250,265,77,82,72,58
187,1.4227,1021,1239,1262,1172,56.9,50.8,47.8,53.5,157,240,242,279,82,71,76,55
188,2.0056,1028,1311,1316,1252,54.9,46.8,57.3,56.6,171,245,265,269,104,98,74,61
189,2.9218,1031,1380,1344,1351,53.8,57.3,69.2,62.2,173,253,285,274,106,100,82,63
190,4.0261,1132,1420,1427,1451,70,75.2,89.6,67.3,164,291,310,298,83,116,75,65
191,5.8459,1348,1427,1462,1462,104.5,76.1,88.1,68.7,162,313,325,307,149,91,78,48
192,8.0193,1671,1438,1451,1473,173.9,93.9,83.1,73.2,167,314,334,337,223,80,61,58
193,0.67484,1087,1278,1228,1181,60.5,45.4,51,60.3,166,245,259,260,89,98,71,49
194,0.85657,1033,1248,1173,1136,58.2,49.6,47,58.8,168,253,266,270,97,80,70,52
195,1.1423,1004,1223,1239,1146,56.9,53.7,54.4,55.3,171,245,250,270,91,71,72,55
196,1.8441,1015,1279,1311,1237,56.7,50,54.1,58.3,169,254,274,276,111,88,70,48
197,2.8563,1027,1346,1358,1346,56.2,57.6,57.2,63.9,175,271,289,289,107,103,77,57
198,3.5945,1158,1398,1421,1442,71,78.3,85.5,70.4,177,267,314,285,72,111,89,68
199,4.8983,1393,1418,1452,1458,104.8,80.3,92.5,70.5,172,299,324,309,134,87,69,58
200,8.0967,1720,1443,1454,1476,175.3,96,88.1,73.1,167,331,347,332,196,83,71,56
201,0.6958,1076,1220,1220,1154,58.7,41.7,44.3,51.1,166,245,259,260,81,88,72,51
202,0.67784,1032,1221,1188,1119,56.1,43.9,46.2,55.2,168,253,266,270,91,74,67,46
203,0.83009,995,1214,1208,1142,53.8,60.7,67.1,59.7,171,245,250,270,99,85,69,52
204,1.6726,1005,1253,1277,1231,55.7,59.1,62.4,60.6,169,254,274,276,112,92,71,47
