Ind#,TDose,T1 Pos1,T1 Pos1,T1 Pos3,T2 Pos1,T2 Pos2,T2 Pos3,V Pre,DCE 1,DCE 2,DCE 3,T2w Pos1,T2w Pos2,T2w Pos3
1,1.0343e+06,-243,-209,-289,-6.4,-10.4,-3.5,66,57,63,58,-15,2,-9
2,2.3158e+05,-163,-165,-302,-2.7,-3.6,-0.9,70,55,59,53,7,-4,4
3,888.44,-103,-115,-160,-1.2,-2.1,5.4,66,57,58,56,12,0,5
4,380.13,-42,-72,-77,0.8,-0.7,10.6,78,59,56,57,-8,-14,1
5,7.8757,12,-10,38,0.6,7.3,-1.4,77,62,64,59,-6,-13,1
6,0.69437,26,2,107,-4,9.1,-7.8,72,67,72,64,-5,-6,7
7,2.9506,98,60,164,3.4,7.1,1.6,82,68,70,62,-8,-12,8
8,97.921,112,96,108,10.5,5.2,5.6,81,60,64,61,0,-5,7
9,4.5803,84,107,78,9.7,2.3,1.9,76,67,63,70,2,-6,4
10,230.78,1,99,86,-13.7,-5.7,-3,77,66,69,69,4,8,-6
11,2.8613e+17,-22,103,58,-18.7,-7.5,-3,82,66,78,70,10,10,-10
12,9.7072e+16,-15,107,49,-21.7,-10,-8.1,87,74,87,74,1,2,-6
13,44528,45,35,45,-23.5,-18.6,-19.3,85,77,85,81,-10,-14,11
14,4.1997,52,-36,17,-22.2,-19.2,-15.7,82,82,83,81,-2,-8,4
15,40.398,-42,-115,-9,-19.9,-18.3,-8.6,89,78,83,75,-5,-8,3
16,1.5227e+18,-19,-43,5,-19.3,-18.2,-13.6,93,79,85,85,-9,-9,4
17,1.0224e+15,-210,-159,-171,-4.7,-1.1,-3,74,66,63,63,0,2,2
18,1.511e+15,-98,-128,-142,-0.2,2.1,-2.8,85,68,62,66,0,-4,6
19,6.1972,-46,-75,-98,5.4,1,1.5,83,65,63,67,-4,-3,6
20,5.8107e+15,0,-11,-59,10.4,0.7,7.3,83,69,63,64,-8,-6,8
21,22.721,13,7,-62,1.3,0.9,2.1,80,72,72,59,-12,-12,2
22,1.3332e+19,17,-27,-14,-9.1,-0.1,-4,87,76,73,68,-2,-8,2
23,5.9929e+20,89,24,102,-2,0.7,-0.2,88,72,72,69,-5,-12,7
