Ind#,TDose,T1 Pos1,T1 Pos1,T1 Pos3,T2 Pos1,T2 Pos2,T2 Pos3,V Pre,DCE 1,DCE 2,DCE 3,T2w Pos1,T2w Pos2,T2w Pos3
72,3.2859,204,197,254,16.4,25.5,23.5,198,390,435,443,-3,-20,-18
73,8.5802,98,127,168,5.5,8.2,11.6,204,369,398,404,-32,-40,-2
74,26.037,14,35,17,-1.8,-2.3,10.1,201,386,390,401,-32,-40,-22
75,40.486,-49,-51,-101,-7.8,-8.4,11.9,199,387,400,398,-32,-48,-12
76,119.4,-217,-202,-325,-24.1,-21.4,-15,207,397,412,388,-42,-54,-24
77,1.6007,198,153,82,13.6,23.7,8.8,204,498,574,558,6,0,-30
78,6.9445,269,254,257,10.4,27.4,6.8,198,390,435,443,-5,-15,-31
79,13.245,137,148,172,7.8,20.8,20.2,204,369,398,404,-21,-23,-21
80,18.052,20,31,35,3.3,9.4,18.2,201,386,390,401,-40,-42,-14
81,60.173,-53,-43,-54,-6,-3,7.1,199,387,400,398,-44,-39,-17
82,223.5,-208,-189,-124,-33.7,-25.9,-22.1,207,397,412,388,-47,-72,1
83,3.1799,190,132,47,14.9,29.4,4.7,214,442,531,539,12,-15,-11
84,9.2129,264,232,203,10,29.2,2.9,200,423,458,456,-4,-32,-17
85,15.823,155,164,168,4,17,16.1,201,364,423,417,-6,-37,-1
86,23.449,41,60,59,4.2,9.9,16.8,210,396,413,422,-31,-53,10
87,66.114,-28,-1,4,-1.2,0.7,5.7,200,395,405,419,-33,-44,-1
88,177.04,-200,-171,-68,-37.5,-31.5,-30.4,199,414,422,403,-37,-59,-19
89,2.2449,181,123,45,12.4,28.5,2.2,214,442,531,539,-10,-31,-15
90,5.6781,232,199,137,14.1,29.7,5.8,200,423,458,456,-4,-36,-6
91,12.112,160,178,133,2,10.9,10.3,201,364,423,417,-27,-41,-15
92,23.672,69,98,82,1.2,5.5,9.5,210,396,413,422,-20,-52,-2
93,61.446,3,41,55,0.099998,0.6,2.6,200,395,405,419,-18,-35,-14
94,111.68,-196,-159,-66,-32.8,-30.3,-31.7,199,414,422,403,-18,-34,-26
95,1.914,159,128,115,-3.2,6.8,2.7,213,448,487,520,-13,-24,-20
96,4.8203,173,145,93,10.4,17.4,17,200,412,405,416,-12,-27,2
97,9.0023,158,176,66,8.2,12.4,10.1,204,374,407,399,-36,-36,-15
98,20.275,120,147,97,-4.1,2.1,-4,214,400,403,409,-37,-50,-16
99,69.097,52,70,89,-11.2,-4.4,-8.9,215,396,385,396,-36,-41,-16
