Ind#,TDose,T1 Pos1,T1 Pos1,T1 Pos3,T2 Pos1,T2 Pos2,T2 Pos3,V Pre,DCE 1,DCE 2,DCE 3,T2w Pos1,T2w Pos2,T2w Pos3
75,0.014633,2,-11,-7,-1.4,-2,4.1,113,134,145,153,-20,4,4
76,1.0131,32,43,16,-4.7,-4,0.099998,110,131,135,148,-2,6,-3
77,0.020214,44,45,30,-3.6,-4.1,-0.7,116,110,146,137,0,13,-20
78,0.15031,42,29,31,-0.9,-2.4,1.3,116,139,164,148,-3,-12,5
79,0.013283,55,30,29,5.2,1.7,6.3,113,132,152,151,13,14,2
80,0.011414,72,44,35,5.7,2.6,5.8,117,135,133,157,0,9,2
81,0.20651,57,27,20,4.2,3.3,4.3,117,129,132,164,0,-25,14
82,0.95398,50,23,1,2.7,1.3,3.5,124,115,143,159,-6,-29,18
83,0.051826,54,26,-6,1.9,-0.7,2.1,113,99,102,130,-4,-1,-15
84,0.16626,50,26,26,3.1,-1.2,0.4,118,78,71,120,29,11,0
85,0.04,-21,10,-7,-0.3,-0.8,3.5,100,119,132,150,5,-2,4
86,0.045521,-15,-4,-16,-1.2,0.7,3.1,92,107,144,149,2,-4,-3
87,0.0091667,-5,-10,-19,7.1,-0.3,5.5,95,100,144,136,3,2,1
88,0.0049028,0,-9,-4,8.8,-0.6,8,99,106,138,135,-14,2,-7
89,0.084437,2,5,15,5.3,-0.2,8.6,108,112,145,123,-7,-4,0
90,6.6375,17,26,13,-3.6,1.2,3,111,119,148,142,9,5,7
91,0.056594,39,30,21,-3,-0.5,1,111,123,162,161,11,-1,8
92,0.11348,59,23,40,-0.3,-1.8,1.2,117,153,163,184,17,-4,13
93,0.012047,74,41,52,3.8,0.3,4.7,117,156,163,179,5,-1,-12
94,0.0034047,69,49,39,4,1.2,5.3,113,156,159,170,-8,-23,19
95,0.067515,58,29,39,3.6,-0.2,4.2,114,162,174,182,6,-16,23
96,0.073325,65,36,42,1.9,-0.8,3,122,172,199,214,-1,-13,20
97,0.011116,75,51,32,0.7,-0.9,1.7,116,163,171,199,-3,-1,-8
98,0.013473,55,48,12,0.7,-2.4,-1.2,115,145,153,176,32,6,20
99,34.827,-13,22,6,1.8,3.5,7.5,100,119,132,150,2,-7,-2
100,0.26998,12,22,5,0.5,4.2,5.7,92,107,144,149,5,2,-4
101,0.010911,26,7,1,6.9,5.3,8,95,100,144,136,-5,-12,15
102,0.0060784,28,3,18,7.4,2.5,10.1,99,106,138,135,-5,-12,1
103,0.0069611,18,6,30,4.4,0.8,11,108,112,145,123,7,-3,2
104,0.14756,2,11,1,-1.9,1,5.8,111,119,148,142,13,6,-1
105,0.085932,12,9,0,-0.6,1.2,3.9,111,123,162,161,8,2,3
106,0.0082781,31,7,14,1.2,-0.099998,3.4,117,153,163,184,4,7,-7
107,0.034028,59,34,45,1.7,-0.3,4.5,117,156,163,179,2,-19,7
108,0.014302,55,43,31,2.2,1.2,5.2,113,156,159,170,-8,-29,26
109,0.065499,45,25,26,3.9,1.6,5,114,162,174,182,5,-14,25
110,0.11121,51,30,36,2.3,0.8,3.8,122,172,199,214,6,-6,9
111,0.11632,63,52,38,0.6,0.9,2.4,116,163,171,199,18,-9,12
112,0.026618,52,54,13,0.6,0.7,0.1,115,145,153,176,24,-1,20
113,0.0046231,6,27,31,4,8.9,12,93,198,179,241,6,-23,15
114,0.032098,43,58,41,2.8,7.6,10,86,183,170,237,-8,-14,17
115,0.0099321,66,54,39,6.6,10.9,10.6,95,159,202,210,-7,-24,20
116,0.006073,53,31,49,5.9,8.4,13.4,92,172,243,230,2,-4,-3
117,0.11397,38,11,47,2.1,3,13.4,100,179,255,255,12,-4,0
118,0.029779,-4,-3,-7,-0.099998,0.2,8.4,111,198,270,294,13,-7,9
119,0.010439,-17,-15,-25,2.5,2.1,7.2,98,253,292,323,0,-1,-11
120,0.006881,-11,-20,-17,4.2,2.7,6.6,112,251,268,306,7,8,-10
121,0.012722,20,9,12,1.1,0.6,5.2,118,246,261,298,16,3,-11
122,0.044563,29,20,10,-0.3,1.3,4.5,106,255,277,283,-20,-22,-7
123,0.068846,31,21,13,3.8,4,4.6,111,253,277,272,6,-13,27
124,0.13405,32,19,19,4.3,4.5,4.5,127,267,262,273,31,10,8
125,0.11246,40,32,26,2.5,4.1,3.5,116,263,272,275,17,-9,21
126,0.086221,37,47,18,0.9,2.9,0.6,116,270,270,292,26,12,-8
127,0.01672,70,53,78,7.1,13.2,17.8,93,198,179,241,3,-3,5
128,0.13965,87,91,87,7.5,10.9,16.5,86,183,170,237,-10,-2,-5
129,0.0086556,96,134,83,9.4,14.3,14.5,95,159,202,210,-4,-6,-2
130,0.0085287,102,108,90,8.4,15.2,17.6,92,172,243,230,-2,-7,-5
131,0.091172,99,66,87,6.3,11.3,19.8,100,179,255,255,-11,-14,8
132,0.064714,59,7,38,4.9,1.7,13.3,111,198,270,294,-3,-12,22
133,0.0070606,28,-15,14,6.3,4,8.8,98,253,292,323,17,5,-2
134,0.084886,6,-23,1,7.5,7.6,7.9,112,251,268,306,30,8,-3
135,0.41851,-27,-31,-39,5.2,6.5,8.1,118,246,261,298,18,-3,-12
136,0.031681,-13,-20,-33,1.5,3.4,5.4,106,255,277,283,15,-17,-1
137,0.020782,20,9,11,0,3.3,2.8,111,253,277,272,43,9,20
138,0.0094466,22,19,16,3.6,5.3,4.2,127,267,262,273,43,21,5
139,0.047474,18,20,10,6,6.3,5,116,263,272,275,17,-12,27
140,0.63051,19,17,21,0.099998,0.3,-1.6,116,270,270,292,29,-1,10
141,0.39207,60,48,44,-1.7,-1.8,-2.2,103,168,220,179,-12,-13,7
142,1.9453,62,50,37,-2.4,-3.8,-1,104,182,218,206,8,17,4
143,0.27106,89,79,74,-5.5,-4.2,-0.8,101,130,213,188,6,1,7
144,0.024946,94,84,85,-4.2,-1.4,0,106,108,201,206,16,9,-4
145,0.028248,94,72,74,0.1,2.5,1.8,106,117,126,212,6,5,-20
146,0.0037689,71,50,39,4.1,3.6,4.2,114,113,111,82,6,8,-22
147,0.096057,55,44,25,0.9,1,2.4,115,141,149,100,-1,-12,-15
148,0.039578,34,35,14,-2.3,-0.9,0.6,106,85,110,75,17,-2,6
149,0.01578,18,16,13,-0.6,-1.6,2.1,119,61,73,81,15,-2,-3
150,0.010937,15,6,23,0.7,-2.1,3.4,122,78,77,70,15,-9,6
151,0.043006,21,11,30,1.6,1.7,4.1,124,55,77,78,3,-25,0
152,0.043189,39,29,34,3.2,3.2,4.8,124,34,80,101,10,10,-33
153,0.052246,63,51,40,4.3,1.6,4.1,120,61,109,117,1,-1,-29
154,0.058562,52,59,24,2.6,-1.3,1.2,129,36,116,163,-21,-37,26
155,0.07104,29,20,33,-5.2,-6.6,-4.8,103,168,220,179,-7,-5,6
156,0.075313,25,19,18,-4.8,-6.9,-4.2,104,182,218,206,7,9,-3
157,0.090391,58,57,45,-5.3,-5.4,-2.1,101,130,213,188,10,10,-8
158,0.031439,75,75,77,-4.4,-3.1,-0.099998,106,108,201,206,14,14,-7
159,0.018849,78,78,84,-1.8,0,1.7,106,117,126,212,2,-1,-15
160,0.056309,53,41,40,2.1,3.6,3.2,114,113,111,82,11,5,-16
161,0.05678,58,45,37,1.5,1.9,1.8,115,141,149,100,-7,-6,4
162,0.051071,54,48,34,0.5,0,0.8,106,85,110,75,13,5,-13
163,0.14796,23,2,7,0.9,-0.4,1.9,119,61,73,81,24,0,-11
164,0.055313,21,-12,4,1.9,-1.6,2.2,122,78,77,70,35,10,11
165,0.0099321,35,22,15,2.7,-1,2.4,124,55,77,78,11,-6,3
166,0.0090769,20,24,6,2.3,0.3,2.7,124,34,80,101,-13,-16,-9
167,0.032306,8,9,-5,2.1,0.7,2.6,120,61,109,117,-3,-25,0
168,0.021486,15,4,-9,3.2,-1.4,-0.2,129,36,116,163,8,19,-12
169,0.007406,40,29,37,-4.5,-6.8,-4.6,98,120,142,129,-9,-11,-6
170,0.0069211,39,34,33,-4.5,-6.5,-3.8,101,126,111,147,3,-1,-7
171,0.021408,62,56,42,-5.8,-5.3,-2.5,96,115,111,151,1,-1,-2
172,0.047506,83,68,61,-3.8,-3.6,-0.8,99,127,144,138,-2,10,-11
173,0.025414,80,65,73,0.3,-0.6,1.6,97,116,150,155,-12,-1,-14
174,0.08836,36,35,42,1.7,1.4,2.7,113,134,155,150,6,5,3
175,0.066386,45,36,35,0.3,0.6,1.4,116,158,169,163,12,8,14
176,0.88842,52,42,40,0.3,-0.1,0.7,105,135,159,151,16,2,-5
177,0.023691,24,10,17,2.2,-0.9,1.6,119,115,124,141,33,7,-6
178,0.017228,18,-6,5,2.9,-1.4,2.2,122,102,97,128,21,8,0
179,0.0061476,31,19,-1,2.7,-2,1.7,119,78,99,132,9,-7,-5
180,0.02307,16,24,-9,1.4,-1.7,1.1,127,59,102,151,8,-18,-8
