Ind#,TDose,T1 Pos1,T1 Pos1,T1 Pos3,T2 Pos1,T2 Pos2,T2 Pos3,V Pre,DCE 1,DCE 2,DCE 3,T2w Pos1,T2w Pos2,T2w Pos3
221,0.006847,83,214,169,-224.3,-224.3,-224.3,124,146,150,158,12,9,3
222,0.0085006,194,317,495,65.1,87.8,188.4,119,187,219,217,-58,-68,-14
223,0.0099227,263,403,483,14.5,27.6,65.2,126,200,242,245,-4,-9,-12
224,0.0085669,160,219,196,-7.6,-2.4,6.4,142,227,235,248,-21,-22,-13
225,0.0069796,92,69,111,-2.1,-6.3,-11.4,151,214,214,233,-13,-12,-27
226,0.0061287,74,68,125,0.9,-5,-6,151,203,228,224,-21,-25,-15
227,0.003469,74,90,110,-4.2,-11.1,-4.5,145,200,233,224,-19,-23,-14
228,0.0035663,91,76,122,-7,-10.9,-4.3,142,196,221,228,-5,-16,-8
229,0.0061153,106,60,143,-7.3,-6.4,-1.1,153,195,216,224,3,-8,-13
230,0.010686,137,104,147,-3.2,1.7,4.6,153,208,228,222,-14,-10,-16
231,0.012079,139,137,129,-7.4,-1.2,-0.7,149,211,231,236,4,-10,-6
232,0.0046564,82,150,199,-243.5,-243.5,-243.5,116,164,187,193,-16,-14,-2
233,0.0060241,221,341,456,56.4,78.8,183.7,124,191,218,224,-46,-74,-6
234,0.0093223,301,416,448,13,27.8,71.7,138,211,238,244,-10,-12,-9
235,0.0075456,176,217,194,-6.9,1.6,16.9,147,218,222,232,-22,-24,-12
236,0.0046618,122,87,120,-8.7,-7.4,-8.2,142,200,213,236,-5,-18,-17
237,0.003621,109,84,127,-6.1,-6.9,-7.1,140,201,229,226,-3,-16,-9
238,0.0026459,73,75,116,-4.6,-9.5,-5.6,138,206,237,229,-10,-21,-11
239,0.005728,79,59,132,-6.3,-9.1,-5.3,143,206,230,239,1,-23,7
240,0.0098649,104,52,152,-7.2,-6.1,-3.4,158,206,228,240,8,-3,-8
241,0.011153,148,91,142,-2.6,1.6,2.9,164,210,243,241,-16,-18,-6
242,0.0064485,145,122,134,-4.5,0.2,1.1,156,218,235,248,3,-8,3
243,0.0044158,120,159,166,-206.4,-206.4,-206.4,116,164,187,193,-48,-58,-4
244,0.0064672,254,317,330,52.3,42.3,117.2,124,191,218,224,-39,-63,-8
245,0.0088693,235,198,419,15.4,18.1,52,138,211,238,244,-6,-17,0
246,0.0083601,142,176,151,2.7,8.7,26.3,147,218,222,232,-13,-25,-8
247,0.0043224,73,79,86,-8,-1,2.7,142,200,213,236,-4,-13,-5
248,0.0023595,76,83,91,-11.7,-6.1,-7.3,140,201,229,226,-2,-11,0
249,0.0034261,66,42,87,-3.8,-5.1,-7.6,138,206,237,229,-2,-18,-1
250,0.008025,71,24,114,-1.9,-3.5,-2.7,143,206,230,239,-9,-12,-4
251,0.011484,92,31,143,-4.8,-3.7,-1.2,158,206,228,240,4,-5,-8
252,0.0090851,146,77,151,-4,-3,1.5,164,210,243,241,2,-12,-5
253,0.0040308,152,94,146,-2.1,-2.1,3.7,156,218,235,248,-14,-13,0
254,0.0066425,117,159,160,-179.8,-179.8,229.7,115,168,195,199,-60,-62,-20
255,0.0089912,453,486,535,45,23.1,67.4,131,200,230,241,-31,-39,-19
256,0.011799,251,213,213,13.3,6.1,31.3,140,218,236,247,4,-13,-10
257,0.0095771,119,145,153,7.2,6,22.6,141,204,216,224,-6,-16,-11
258,0.0058606,43,67,81,-2,3.4,10.7,143,200,223,228,-12,-13,-3
259,0.0044498,47,74,85,-9.5,-3.8,-0.8,142,207,224,232,-9,-17,-4
260,0.0044366,48,35,77,-5.8,-5.3,-7.3,140,214,229,235,-5,-24,7
261,0.0061718,63,22,100,-3.5,-3.7,-3.4,150,214,225,235,-10,-13,-11
262,0.0062819,81,27,125,-6.9,-5.2,-3.4,157,226,244,251,6,-7,-9
263,0.0067261,121,64,145,-10.9,-9.9,-4.9,167,231,258,251,0,-10,-7
264,0.0036554,138,87,139,-8.4,-8.9,-2.1,157,228,252,251,-26,-23,-8
265,0.0075138,100,154,208,-159.2,-159.2,145.3,115,168,195,199,-54,-48,-25
266,0.0099028,396,422,509,35.8,16.3,34.4,131,200,230,241,-5,-19,-14
267,0.0093031,235,246,249,8.9,-1.5,14.5,140,218,236,247,-10,-10,-14
268,0.0069167,114,137,174,7.2,1,16.7,141,204,216,224,-16,-11,-13
269,0.006892,47,69,93,1.6,4.4,17,143,200,223,228,-15,-5,-8
270,0.0057211,52,67,93,-7.6,-2.8,6.9,142,207,224,232,-11,-17,-7
271,0.004825,47,31,80,-9.9,-7.4,-3.5,140,214,229,235,-5,-16,-8
272,0.0054148,58,30,96,-7.7,-5.9,-3.2,150,214,225,235,-9,-2,-24
273,0.005344,74,41,113,-9.8,-7.9,-5.8,157,226,244,251,4,1,-26
274,0.0057894,92,59,141,-16.8,-14.2,-11.2,167,231,258,251,-13,-5,-16
275,0.0041141,115,87,144,-16.9,-14.7,-10.6,157,228,252,251,-12,-7,-16
276,0.0056053,94,209,301,247.9,291.4,208.8,122,168,194,199,-32,-43,-17
277,0.0074894,161,467,475,26.5,26.8,23,143,205,240,244,12,-7,-3
278,0.0063932,179,240,295,6.4,2.4,2.4,140,211,229,238,-17,-20,-10
279,0.0057031,106,146,184,3.1,-2.4,3.4,129,197,222,229,-12,-5,-23
280,0.0053874,77,100,124,-0.4,-3.4,10.1,139,208,237,225,-13,-5,-16
281,0.004832,78,75,101,-4.3,-5.4,7.5,152,211,232,224,1,-15,2
282,0.0044722,76,41,95,-10.6,-8.7,2.9,146,212,234,232,0,1,-20
283,0.0067832,88,68,117,-9.6,-7.3,2.7,153,212,226,235,-6,-3,-21
284,0.0083228,89,92,126,-7.3,-6.5,0.1,155,228,249,246,-2,-10,-22
285,0.0073714,95,83,140,-13,-7.8,-9.2,162,234,258,252,-6,-8,-19
286,0.0035479,116,96,155,-21.2,-11.9,-13.6,157,231,261,251,-14,-13,-20
287,0.0054647,104,239,290,137.2,215,262.9,122,168,194,199,-27,-29,-20
288,0.0061564,176,504,470,18.8,26.5,28.8,143,205,240,244,3,7,-9
289,0.0072073,147,237,258,4.3,5,3.4,140,211,229,238,-12,-16,-5
290,0.0055341,90,152,177,0.3,-2.7,-2.5,129,197,222,229,-18,-12,-7
291,0.0040137,73,118,131,-2.5,-7.6,-2.3,139,208,237,225,-14,-20,3
292,0.0037594,61,78,95,-2.4,-7.2,-1.4,152,211,232,224,0,-12,6
293,0.0059755,72,48,91,-7.2,-7.2,-1.1,146,212,234,232,-6,-12,-5
