Ind#,TDose,T1 Pos1,T1 Pos1,T1 Pos3,T2 Pos1,T2 Pos2,T2 Pos3,V Pre,DCE 1,DCE 2,DCE 3,T2w Pos1,T2w Pos2,T2w Pos3
141,7.7064e+25,-11,-289,-374,-105.6,-176.5,-126.1,58,54,30,66,6,0,1
142,1.9987e+15,-332,-48,-341,-178.4,-220.8,29,43,61,30,62,-2,-2,0
143,1.81e+36,-8,233,252,-100.7,60.5,256.4,46,23,18,39,2,6,-6
144,Inf,-117,98,-48,-74.2,82,148.5,19,17,17,21,-2,-4,-4
145,Inf,-7,94,99,-40.4,-60.2,-105.7,42,11,15,8,-2,-4,-1
146,1.1713e+28,-27,110,66,142.9,25.5,110.1,27,5,11,6,0,-4,-3
147,9.1682e+24,-721,-634,-715,5.4,84,323.9,39,21,8,18,6,0,-4
148,Inf,-818,-863,-895,-7.2,118,139.6,32,23,62,21,-4,-8,-2
149,4.6199e+15,-1330,-1581,-1473,55.3,17.8,30.4,66,30,37,37,-8,-16,3
150,6.1981e+06,-1001,-1019,-684,-30,3.4,-22.3,29,19,30,26,-3,-1,-3
151,Inf,-342,-252,150,-39.6,-25.9,-48.8,45,19,30,30,-6,0,-3
152,Inf,-234,-80,248,-5.2,-12.9,-0.8,104,42,27,36,0,0,-1
153,1.7513e+27,31,253,71,11.7,24.7,-0.5,30,46,21,30,-31,-35,3
154,9.7648e+21,260,400,220,-38.5,51.3,27,31,55,49,26,-58,-66,-1
155,1.7879e+08,149,-245,-257,-43.9,-87.7,-98.8,40,34,23,26,-10,-12,-1
156,6.1377e+23,-264,-469,-517,-38,-156.8,-145,21,25,7,27,-9,1,-11
157,1.9373e+34,-77,81,183,-103,-71,117.3,23,25,12,22,-4,1,-4
158,Inf,-61,102,220,-53.5,49.9,267.4,34,6,22,6,-11,-5,-9
159,Inf,-93,59,-22,-12.5,249.5,100.6,50,10,22,17,-1,-1,-9
160,35.853,-82,-85,-200,283.2,-50.9,141.3,90,21,24,20,7,-1,2
161,2.6774e+09,-302,-431,-621,91.4,-25.3,320.4,101,16,10,11,5,7,0
162,2.2464e+28,-752,-743,-818,66.2,-0.7,138.7,72,40,51,47,-8,-1,-6
163,2.1006e+28,-1488,-1663,-1634,50.7,94.8,35.5,54,10,34,44,-5,1,-8
164,2.5487e+05,-657,-750,-737,-30.1,45.4,-1.2,57,7,17,22,-24,-18,-6
165,1.9864e+23,-399,-382,180,-40.1,-17.5,-64.8,45,17,17,8,-16,-20,2
166,5.8306e+28,-317,-235,540,20,-10.7,-16.9,116,33,25,30,-16,-15,4
167,2.7271e+29,33,95,115,45.1,106.2,34.9,53,50,16,46,-56,-58,-2
168,4.4489e+36,357,237,259,-50,127.8,25,19,63,26,31,-72,-74,-2
169,7.7823e+19,212,-84,-97,-10.8,42.1,-2,40,34,23,26,4,4,-4
170,Inf,-127,-367,-264,147.9,0.6,-31,21,25,7,27,0,-2,-2
171,2.8846e+30,-118,-70,-47,13.1,-39.5,50.3,23,25,12,22,-8,-6,-2
172,Inf,-72,17,41,-1,25.9,198.7,34,6,22,6,-4,2,-14
173,2.6053e+34,-22,151,4,34.1,131.3,159.1,50,10,22,17,4,11,-15
174,Inf,284,406,86,81,60.9,101.5,90,21,24,20,0,2,4
175,2.8917e+12,-1,-146,-283,61,-9.1,138.1,101,16,10,11,-6,-2,4
176,1.3611e+11,-97,-171,-385,69.2,-26,107,72,40,51,47,0,2,-8
177,2.2933e+20,-519,-559,-599,-27.4,101.8,-1.3,54,10,34,44,8,8,-8
178,9.2596e+25,-470,-642,-653,-42.5,29.1,2.2,57,7,17,22,-10,-10,4
179,1.1522e+15,-289,-319,9,-40.5,-29.8,-48.2,45,17,17,8,-6,-8,-2
180,Inf,-302,-307,269,0.7,-28.9,-54.8,116,33,25,30,-28,-30,2
181,6.6567e+19,55,38,249,25.4,67.2,4.8,53,50,16,46,-87,-83,2
182,1.0934e+22,210,94,182,-18.9,301.4,86.9,19,63,26,31,-79,-79,2
183,Inf,10,-137,-108,-195.5,-211.9,-182.9,65,17,11,8,4,0,-2
184,Inf,25,-111,-37,-85.7,-77.3,-35.9,51,18,18,13,4,6,0
185,1.4891e+34,-82,-34,338,61.7,-13.4,45.1,7,34,31,28,-8,-2,2
186,5.2925e+08,-28,212,522,94.5,50.7,42.8,33,24,37,14,-6,-6,-8
187,1.6582e+21,1,610,749,81.2,152.7,20.8,23,19,34,32,-8,0,-4
188,8.8641e+23,259,382,-163,27,106.2,-16.4,73,14,8,24,-19,-13,-2
189,Inf,86,-201,-55,21.8,-37.3,-34.6,135,17,9,36,-6,-12,4
190,Inf,213,-200,-257,146.4,-47.6,-10.2,138,27,11,11,4,0,6
191,1.6986e+22,-117,-43,-203,80.7,-1.6,-48.6,86,20,33,20,-6,-10,2
192,Inf,-213,-160,-342,-44.1,-18.3,-56.2,41,8,21,16,-8,-8,6
193,1.7768e+26,-247,-401,-205,58.4,-24.5,-0.3,53,9,26,21,-11,-23,4
194,Inf,91,-18,217,3.4,-85,-95,90,29,25,52,-34,-34,-8
195,4.1987e+27,128,100,379,-199.9,-217.3,-276.4,76,56,46,71,-90,-90,4
196,Inf,113,46,376,23.7,114.2,15.3,44,54,35,23,-77,-67,-6
197,Inf,-200,-321,-318,1.9,-77.6,-44.3,65,17,11,8,5,-1,0
198,3.1841e+15,-146,-278,-212,-24.4,-41.2,37.1,51,18,18,13,3,5,-4
199,1.8209e+36,-39,2,618,-56.4,-46,67.1,7,34,31,28,-3,-1,-2
200,Inf,-134,202,590,-16.9,27.4,3.1,33,24,37,14,-7,-1,-2
201,3.1155e+20,-14,598,529,21.5,317.6,2.6,23,19,34,32,-10,-5,-2
202,Inf,108,250,32,25.7,22.3,1.1,73,14,8,24,-5,-11,0
203,8.1142e+18,249,-215,133,17.7,-30.6,-21.6,135,17,9,36,-9,-12,1
204,Inf,251,-203,-178,143,-3.8,-21.4,138,27,11,11,-5,-5,6
205,9.6955e+25,322,143,22,103.9,-41.4,-63.2,86,20,33,20,0,7,-7
206,2.2598e+33,47,-18,-103,-31.8,-74.7,-111.1,41,8,21,16,-34,-40,2
207,Inf,-51,-225,-84,202.2,30.8,61.2,53,9,26,21,-45,-49,0
208,1.72e+22,47,-89,103,60.2,-20,-11.9,90,29,25,52,-61,-53,-4
209,3.8046e+34,149,64,269,-42.7,-29.9,-71.7,76,56,46,71,-77,-81,7
210,1.9339e+16,193,144,205,-22.3,3.9,-31,44,54,35,23,-62,-55,-15
211,3.0261e+18,-568,-599,-661,97.9,7.3,22.5,37,41,26,26,-1,1,0
212,4.2113e+27,-411,-462,-460,87,39.4,127.3,57,6,31,18,-4,-1,0
213,1.9998e+27,-99,-83,772,-47.9,-44.3,127.9,21,61,58,63,-1,-1,-1
214,2.251e+30,-184,30,448,-82.7,-51,-46.3,16,39,44,29,-4,0,0
215,5.0218e+24,-174,395,530,-182.5,-80.5,-171.4,16,15,20,23,7,1,0
216,Inf,252,263,548,-9.5,-5.5,25.9,32,4,6,11,-2,-1,-1
217,2.4679e+17,261,-69,699,14.6,16.5,74.5,58,14,15,25,0,0,0
218,1.6659e+28,653,-116,203,32.3,38.9,-1.8,115,3,9,22,-3,-6,1
219,7.1687e+22,364,53,-7,-91.5,-59.6,-107.2,93,27,13,36,-15,-3,-10
220,1.285e+29,74,-166,-149,-121,-130.6,-142.5,21,48,20,33,-50,-54,2
221,2.5525e+32,-134,-278,-150,62.7,12.5,70.8,47,55,35,27,-80,-75,-4
222,Inf,-7,-116,9,-28.5,11.9,34.1,67,58,36,74,-73,-67,-6
223,4.3508e+14,176,109,189,-44.4,13.4,-19.8,57,81,88,73,-45,-42,7
224,1.2348e+29,-18,-134,-136,-48.9,-30.5,-7.2,71,44,52,48,-41,-28,-11
225,1.6756e+23,-734,-668,-687,-3.8,32,62.2,37,41,26,26,3,7,-4
226,1.6971e+35,-466,-369,-235,46,30,216.5,57,6,31,18,-7,-7,-2
227,Inf,-28,-42,-45,74.9,22,54.1,21,61,58,63,3,9,-8
