Ind#,TDose,T1 Pre,T1 Pos1,T1 Pos1,T1 Pos3,T2 Pre,T2 Pos1,T2 Pos2,T2 Pos3,V Pre,DCE 1,DCE 2,DCE 3,T2w Pre,T2w Pos1,T2w Pos2,T2w Pos3
1,4.5438,1278,1350,1277,1254,76.5,78.7,87.4,86.5,94,167,219,220,102,132,135,132
2,2.4734,1322,1382,1295,1290,88.6,82.6,88.4,94.7,113,206,226,258,112,143,152,136
3,1.3752,1320,1416,1331,1332,96.9,87.7,91.3,95.5,115,228,252,292,121,161,161,143
4,0.91675,1384,1578,1536,1508,114.3,113.1,127.9,112.8,112,210,270,309,123,140,139,126
5,1.9525,1229,1216,1208,1188,65.3,67.5,63.4,65.4,110,261,256,277,69,77,77,89
6,2.4292,1239,1280,1259,1241,70.8,80.5,75.5,76.6,99,297,319,333,96,118,149,127
7,3.6129,1307,1361,1338,1311,85.4,92.2,91,92.2,112,312,348,374,96,115,151,137
8,3.5315,1318,1357,1331,1317,94.8,91.3,92.2,93.1,118,336,368,407,106,159,163,164
9,2.0321,1325,1422,1365,1370,112.2,99.8,99.9,96.2,123,306,372,413,109,147,177,154
10,1.423,1330,1461,1392,1388,113.6,104.3,100.3,97.3,123,322,370,429,88,119,135,130
11,2.6594,1200,1226,1229,1196,64.7,68.2,62.9,64.2,110,261,256,277,63,82,77,84
12,2.5731,1214,1260,1271,1241,69.8,81,73.5,74.1,99,297,319,333,102,133,139,128
13,5.6449,1301,1346,1349,1317,84.9,94.3,89.4,89.4,112,312,348,374,95,147,143,151
14,5.7726,1321,1358,1355,1323,93.9,94.3,91.3,92,118,336,368,407,104,158,164,163
15,3.3295,1325,1388,1336,1337,108.8,94.8,93.9,96.6,123,306,372,413,103,156,185,157
16,2.1813,1313,1407,1332,1341,109.8,95.6,92.6,97,123,322,370,429,94,145,161,151
17,3.2172,1166,1267,1265,1215,63.9,68.2,66.4,66.4,109,264,258,284,63,113,80,87
18,2.6476,1184,1278,1300,1254,69.5,80.9,75.9,76.9,124,374,398,398,123,137,126,133
19,6.4316,1300,1343,1356,1327,85.6,93.6,90.6,90.5,116,415,463,487,112,159,145,135
20,7.9807,1330,1368,1366,1334,92,93.9,90.9,92.4,116,364,393,429,135,143,153,154
21,3.6926,1334,1386,1344,1329,106.6,92.7,93.2,98.6,123,254,269,293,122,149,153,145
22,1.9921,1316,1383,1321,1324,109.3,91.6,92.6,99.1,117,297,339,374,138,159,163,145
23,2.4466,1116,1309,1289,1260,59.4,64.8,70.6,74.4,109,264,258,284,59,129,106,131
24,1.8983,1126,1324,1326,1280,67.7,76,79.2,83.6,124,374,398,398,103,127,126,126
25,3.1988,1271,1383,1388,1361,89.4,98.1,97.6,99,116,415,463,487,104,161,142,124
26,4.0006,1322,1395,1388,1368,95,100.7,98.6,99.6,116,364,393,429,116,142,148,146
27,2.3098,1330,1390,1370,1341,102.9,99.3,98.2,99,123,254,269,293,122,151,144,144
28,1.2429,1319,1373,1347,1334,109.2,99,100.1,98.8,117,297,339,374,140,140,138,146
29,2.9555,1103,1289,1268,1275,57.7,65.4,67.5,74.1,130,153,168,171,45,97,117,103
30,2.1039,1110,1295,1296,1272,65.6,72.6,76.3,80.9,127,246,282,261,71,123,117,107
31,2.5992,1231,1378,1382,1346,89.7,96.5,97.6,97.4,124,340,356,368,101,153,135,121
32,2.5587,1284,1397,1387,1364,96.5,103.5,102,100.5,118,254,265,272,107,153,151,127
33,1.818,1312,1379,1358,1334,101.6,101.4,101,98.1,114,96,73,86,125,151,153,137
34,14.517,1250,1289,1255,1210,70.8,69.9,74.5,74.3,148,151,162,168,80,95,110,109
35,11.363,1278,1350,1277,1254,76.5,78.7,87.4,86.5,113,163,184,199,103,119,124,134
36,7.0549,1322,1382,1295,1290,88.6,82.6,88.4,94.7,91,175,221,216,102,142,140,132
37,3.7345,1320,1416,1331,1332,96.9,87.7,91.3,95.5,103,198,227,265,107,147,149,151
38,2.4254,1384,1578,1536,1508,114.3,113.1,127.9,112.8,106,182,220,259,126,132,142,133
39,7.7765,1229,1216,1208,1188,65.3,67.5,63.4,65.4,140,148,159,171,60,105,103,118
40,8.5321,1239,1280,1259,1241,70.8,80.5,75.5,76.6,103,210,200,237,74,141,141,140
41,12.445,1307,1361,1338,1311,85.4,92.2,91,92.2,102,264,298,302,86,116,137,127
42,11.419,1318,1357,1331,1317,94.8,91.3,92.2,93.1,107,316,345,375,93,141,132,145
43,6.3631,1325,1422,1365,1370,112.2,99.8,99.9,96.2,109,289,334,364,96,135,142,135
44,3.9282,1330,1461,1392,1388,113.6,104.3,100.3,97.3,116,274,330,351,85,132,122,135
45,3.3626,1322,1446,1377,1356,111.3,103.2,94.2,96,121,289,341,376,76,260,255,263
46,20.579,1200,1226,1229,1196,64.7,68.2,62.9,64.2,140,148,159,171,56,120,118,129
47,17.793,1214,1260,1271,1241,69.8,81,73.5,74.1,103,210,200,237,73,169,159,143
48,25.843,1301,1346,1349,1317,84.9,94.3,89.4,89.4,102,264,298,302,87,156,149,150
