Ind#,TDose,T1 Pre,T1 Pos1,T1 Pos1,T1 Pos3,T2 Pre,T2 Pos1,T2 Pos2,T2 Pos3,V Pre,DCE 1,DCE 2,DCE 3,T2w Pre,T2w Pos1,T2w Pos2,T2w Pos3
1,0.90635,1072,1259,1273,1367,43.6,50.1,56.1,56.3,199,300,328,329,95,81,73,53
2,1.2084,1082,1183,1193,1245,52.1,43.8,50.1,45.4,213,309,335,327,95,73,59,41
3,1.2244,1165,1154,1167,1117,62.6,41.8,47.6,43.3,218,305,346,332,101,91,77,59
4,1.2485,1568,1317,1280,1115,81.9,53.2,54.2,52.9,214,315,324,335,101,75,69,43
5,0.77699,1090,1253,1259,1401,46.7,52,55.3,56.9,201,378,393,408,94,86,86,48
6,1.5399,1099,1207,1204,1255,46.1,47.5,49.5,54.9,213,353,383,394,96,86,74,52
7,2.1451,1180,1195,1183,1136,51,43.2,46.4,55.6,228,352,400,387,106,100,92,64
8,1.794,1580,1364,1355,1092,80.9,48.3,50.8,56.9,228,375,383,383,118,92,84,48
9,0.63283,1112,1228,1253,1343,48.6,51.5,53.2,56.1,201,378,393,408,107,81,57,57
10,2.2821,1134,1191,1206,1219,48.4,47.8,46.6,57.8,213,353,383,394,101,82,61,57
11,3.3136,1216,1200,1195,1142,49.6,44.3,44.1,61.3,228,352,400,387,107,92,66,66
12,2.4341,1580,1360,1368,1154,77.4,49.5,51.1,58.1,228,375,383,383,109,94,66,58
13,0.25312,1193,1397,1390,1447,52.8,69.2,78.3,76.3,208,367,400,409,98,68,51,40
14,0.75014,1121,1219,1248,1289,46.8,52.3,55,58.4,198,429,429,433,104,76,60,60
15,1.9529,1162,1176,1197,1179,49.4,47.6,47.1,59.5,207,381,395,408,112,74,68,56
16,2.7688,1249,1200,1198,1148,52.7,44.9,44.3,64.6,212,363,407,393,108,83,59,52
17,4.401,1573,1356,1371,1248,74.8,50.7,53.4,59.8,209,394,397,393,111,100,61,48
18,0.41284,1256,1525,1510,1513,68.7,79.1,96.1,75.5,208,367,400,409,110,74,62,43
19,1.0738,1123,1260,1271,1295,46.8,54.6,67.6,67,198,429,429,433,95,83,83,62
20,1.9413,1171,1191,1202,1206,45.1,48.4,54.5,63.3,207,381,395,408,118,80,74,62
21,3.4618,1265,1212,1222,1211,51.9,45.9,48.9,59,212,363,407,393,112,92,85,51
22,6.1616,1559,1351,1370,1435,83.9,50.2,58,61.8,209,394,397,393,111,103,72,47
23,0.4965,1294,1558,1526,1497,70.1,80.1,99.3,73,197,371,421,417,137,79,64,42
24,1.4166,1144,1299,1308,1312,52.1,56.1,69.1,68.2,210,448,465,457,82,93,76,57
25,2.4875,1177,1218,1237,1236,45.8,50,55.7,62.6,216,436,433,442,95,85,65,57
26,5.2513,1252,1224,1251,1256,49.4,48.2,50.1,55.1,205,382,399,391,109,88,85,52
27,5.8187,1545,1345,1374,1477,90.7,53.2,59.2,60.3,204,403,393,407,103,90,81,48
28,0.40923,1323,1555,1522,1460,65.9,80,95.6,71.7,197,371,421,417,134,75,58,39
29,1.402,1176,1336,1354,1309,56.7,58.7,67.6,67,210,448,465,457,91,81,73,44
30,2.9881,1186,1255,1284,1268,50.4,51.6,55.9,59.9,216,436,433,442,97,74,47,46
31,7.8877,1243,1246,1284,1298,50.2,50.3,50.8,52.8,205,382,399,391,110,77,55,45
32,4.6053,1540,1344,1381,1474,91.5,58.7,61.2,59.8,204,403,393,407,103,85,68,50
33,0.41539,1346,1519,1491,1439,67.3,77.7,84.7,84.3,198,363,380,379,121,65,55,40
34,1.474,1230,1388,1406,1296,55.3,63.5,67.7,65.4,212,452,472,463,93,73,71,44
35,3.6194,1212,1332,1359,1309,58.7,54.6,60.8,54.7,214,444,435,442,93,68,58,42
36,5.264,1252,1304,1322,1341,62,50.8,57.6,53.1,203,403,369,379,98,77,62,47
37,4.748,1570,1354,1355,1431,82.9,64.1,63.7,67.5,218,412,377,396,90,79,64,49
38,0.45315,1342,1518,1481,1471,71.7,77.4,82.1,97.3,198,363,380,379,123,65,47,35
39,1.9292,1230,1398,1395,1313,53,64.1,69.7,68.4,212,452,472,463,97,86,65,55
40,3.5785,1209,1346,1357,1312,56.2,55.1,64,55.4,214,444,435,442,96,72,60,40
41,4.7836,1249,1317,1313,1339,64.4,50.5,61.7,53.9,203,403,369,379,91,77,72,50
42,7.4198,1596,1345,1313,1402,86.1,61.1,64.3,71.6,218,412,377,396,93,79,67,42
43,0.62352,1337,1537,1482,1527,73.3,79.4,80.7,109.2,210,367,401,394,128,80,55,49
44,2.1537,1209,1407,1376,1332,53.6,65,69.7,73.5,211,459,522,495,100,89,68,75
45,2.719,1194,1344,1331,1305,52.1,56.6,64.7,59.8,205,400,440,430,102,75,45,50
46,3.7045,1245,1309,1291,1311,60.2,51.4,63,57.3,204,405,397,403,94,59,54,47
47,8.321,1628,1324,1278,1349,94.9,59.7,65.7,71.2,224,394,388,408,97,75,59,37
48,0.49927,1340,1582,1525,1627,68.7,87.9,83.4,120.3,210,367,401,394,129,83,83,60
49,0.99145,1206,1406,1375,1387,61.4,66.3,67.8,78.6,211,459,522,495,103,88,86,65
50,1.2642,1213,1326,1307,1298,54.8,58.7,61.8,73.1,205,400,440,430,102,76,55,52
51,2.034,1303,1291,1276,1232,54.6,54.3,57.5,71.7,204,405,397,403,97,57,47,46
52,6.7635,1882,1302,1308,1189,107.1,61.7,61.9,68.5,224,394,388,408,91,82,52,41
53,0.39582,1223,1388,1393,1398,62.8,64.8,67.5,74,213,489,520,510,105,102,94,57
54,0.58697,1250,1316,1323,1311,59.3,58.3,60.9,72.5,208,409,439,431,102,80,74,49
55,1.3173,1362,1294,1293,1216,58.6,55.1,56.4,72.3,213,412,434,432,95,76,58,49
56,5.9909,1926,1336,1364,1153,108.4,62.7,58.4,68.7,214,389,400,424,94,88,63,51
57,3.4768,1072,1259,1273,1367,43.6,50.1,56.1,56.3,203,294,324,310,104,69,65,55
58,4.564,1082,1183,1193,1245,52.1,43.8,50.1,45.4,212,312,324,323,114,94,71,53
59,5.9642,1165,1154,1167,1117,62.6,41.8,47.6,43.3,217,305,330,322,102,99,91,63
60,11.872,1568,1317,1280,1115,81.9,53.2,54.2,52.9,207,336,341,338,126,67,69,35
61,2.8567,1178,1322,1328,1453,55.1,56.3,67.4,77.9,218,350,380,395,120,79,61,51
62,4.9549,1090,1253,1259,1401,46.7,52,55.3,56.9,207,346,370,377,107,74,68,43
63,11.187,1099,1207,1204,1255,46.1,47.5,49.5,54.9,209,367,375,382,107,85,81,53
64,14.457,1180,1195,1183,1136,51,43.2,46.4,55.6,221,364,384,375,96,80,89,69
65,18.817,1580,1364,1355,1092,80.9,48.3,50.8,56.9,220,396,400,387,122,84,60,41
66,2.3473,1177,1341,1335,1435,52.1,60.9,71,76.2,218,350,380,395,114,93,57,53
67,5.88,1112,1228,1253,1343,48.6,51.5,53.2,56.1,207,346,370,377,116,75,49,51
68,17.619,1134,1191,1206,1219,48.4,47.8,46.6,57.8,209,367,375,382,106,81,75,49
69,30.322,1216,1200,1195,1142,49.6,44.3,44.1,61.3,221,364,384,375,98,75,63,53
70,42.232,1580,1360,1368,1154,77.4,49.5,51.1,58.1,220,396,400,387,122,95,85,47
71,0.88978,1285,1475,1447,1437,66.9,79.6,88.4,91,204,498,574,558,103,103,79,69
72,3.2859,1193,1397,1390,1447,52.8,69.2,78.3,76.3,198,390,435,443,88,85,68,50
73,8.5802,1121,1219,1248,1289,46.8,52.3,55,58.4,204,369,398,404,96,64,56,54
74,26.037,1162,1176,1197,1179,49.4,47.6,47.1,59.5,201,386,390,401,108,76,68,46
75,40.486,1249,1200,1198,1148,52.7,44.9,44.3,64.6,199,387,400,398,108,76,60,48
76,119.4,1573,1356,1371,1248,74.8,50.7,53.4,59.8,207,397,412,388,134,92,80,56
77,1.6007,1399,1597,1552,1481,77.7,91.3,101.4,86.5,204,498,574,558,101,107,101,71
78,6.9445,1256,1525,1510,1513,68.7,79.1,96.1,75.5,198,390,435,443,90,85,75,44
79,13.245,1123,1260,1271,1295,46.8,54.6,67.6,67,204,369,398,404,87,66,64,43
80,18.052,1171,1191,1202,1206,45.1,48.4,54.5,63.3,201,386,390,401,106,66,64,50
81,60.173,1265,1212,1222,1211,51.9,45.9,48.9,59,199,387,400,398,112,68,73,56
82,223.5,1559,1351,1370,1435,83.9,50.2,58,61.8,207,397,412,388,125,78,53,54
83,3.1799,1428,1618,1560,1475,75.1,90,104.5,79.8,214,442,531,539,106,118,91,80
84,9.2129,1294,1558,1526,1497,70.1,80.1,99.3,73,200,423,458,456,92,88,60,43
